fold,bin_idx,bin_left,bin_right,mean_norm_price
6,7,0.35000000000000003,0.4,0.4513276640382828
6,8,0.4,0.45,0.3861279949914996
6,9,0.45,0.5,0.3578406007641646
6,10,0.5,0.55,0.252377930143191
6,11,0.55,0.6000000000000001,0.2397241807413209
6,12,0.6000000000000001,0.65,0.2179899717314957
6,13,0.65,0.7000000000000001,0.19547632214144897
6,14,0.7000000000000001,0.75,0.23850923665086485
6,15,0.75,0.8,0.1834589249315994
6,16,0.8,0.8500000000000001,0.22105588474923668
6,17,0.8500000000000001,0.9,0.20503386293088358
6,18,0.9,0.9500000000000001,0.31459147407976035
6,19,0.9500000000000001,1.0,0.34944521476881035
6,20,1.0,1.05,0.4146174049172968
6,21,1.05,1.1,0.43715586807082735
6,22,1.1,1.1500000000000001,0.30231216825715096
6,23,1.1500000000000001,1.2000000000000002,0.23742473237821923
6,24,1.2000000000000002,1.25,0.17199148095157574
6,25,1.25,1.3,0.2142739178311947
6,26,1.3,1.35,0.4462719316665336
6,27,1.35,1.4000000000000001,0.36222075736942205
6,28,1.4000000000000001,1.4500000000000002,0.04292220961526455
6,29,1.4500000000000002,1.5,0.03666073467871786
7,0,0.0,0.05,0.6924020289477157
7,1,0.05,0.1,0.8532572168153525
7,2,0.1,0.15000000000000002,0.808253650598522
7,3,0.15000000000000002,0.2,0.7582587234329613
7,4,0.2,0.25,0.6986053004918248
7,5,0.25,0.30000000000000004,0.5837443809559499
7,6,0.30000000000000004,0.35000000000000003,0.5298635805546006
7,7,0.35000000000000003,0.4,0.45970965114213747
7,8,0.4,0.45,0.39359499705629347
7,9,0.45,0.5,0.36809799202149385
7,10,0.5,0.55,0.2577531071707084
7,11,0.55,0.6000000000000001,0.25071538765487805
7,12,0.6000000000000001,0.65,0.22740429528712286
7,13,0.65,0.7000000000000001,0.20052696541705645
7,14,0.7000000000000001,0.75,0.2368423118107484
7,15,0.75,0.8,0.18139048851436715
7,16,0.8,0.8500000000000001,0.21523880547830312
7,17,0.8500000000000001,0.9,0.20253714841264178
7,18,0.9,0.9500000000000001,0.30922621063966643
7,19,0.9500000000000001,1.0,0.34719450395045737
7,20,1.0,1.05,0.41601448496550186
7,21,1.05,1.1,0.43897958205030785
7,22,1.1,1.1500000000000001,0.3336832368972031
7,23,1.1500000000000001,1.2000000000000002,0.25190951253442
7,24,1.2000000000000002,1.25,0.2029239848876237
7,25,1.25,1.3,0.2925182451586511
7,26,1.3,1.35,0.4822323581880554
7,27,1.35,1.4000000000000001,0.4705803115124797
7,28,1.4000000000000001,1.4500000000000002,0.04292220961526455
7,29,1.4500000000000002,1.5,0.03666073467871786
8,0,0.0,0.05,0.683309512619012
8,1,0.05,0.1,0.8577073127299704
8,2,0.1,0.15000000000000002,0.808997610891804
8,3,0.15000000000000002,0.2,0.7597921801267138
8,4,0.2,0.25,0.6995926894478356
8,5,0.25,0.30000000000000004,0.5853331903596743
8,6,0.30000000000000004,0.35000000000000003,0.5310809207932422
8,7,0.35000000000000003,0.4,0.46080782697200207
8,8,0.4,0.45,0.39444111246384733
8,9,0.45,0.5,0.3688257124541487
8,10,0.5,0.55,0.2587759749276386
8,11,0.55,0.6000000000000001,0.2506102754688437
8,12,0.6000000000000001,0.65,0.22705605540932614
8,13,0.65,0.7000000000000001,0.19968508921509726
8,14,0.7000000000000001,0.75,0.23498541634401365
8,15,0.75,0.8,0.18502427838433028
8,16,0.8,0.8500000000000001,0.2123338288928269
8,17,0.8500000000000001,0.9,0.20458453883825153
8,18,0.9,0.9500000000000001,0.3017131615134707
