,cycle_pct_through,cycle_days_since_peak,cycle_mean_length,cycle_last_min_cents,cycle_last_max_cents,cycle_peak_count,station_price_cents,station_minus_last_min_cents,station_minus_last_max_cents,station_minus_sydney_avg_cents,lga_mean_cents,station_minus_lga_mean_cents,brand_mean_cents,station_minus_brand_mean_cents,stickiness_score,days_since_trough_entry_bayside,days_since_trough_entry_blacktown,days_since_trough_entry_blue_mountains,days_since_trough_entry_botany_bay,days_since_trough_entry_burwood,days_since_trough_entry_camden,days_since_trough_entry_campbelltown,days_since_trough_entry_canada_bay,days_since_trough_entry_canterbury_bankstown,days_since_trough_entry_cumberland,days_since_trough_entry_fairfield,days_since_trough_entry_georges_river,days_since_trough_entry_hawkesbury,days_since_trough_entry_hornsby,days_since_trough_entry_hunters_hill,days_since_trough_entry_inner_west,days_since_trough_entry_ku_ring_gai,days_since_trough_entry_lane_cove,days_since_trough_entry_liverpool,days_since_trough_entry_mosman,days_since_trough_entry_north_sydney,days_since_trough_entry_northern_beaches,days_since_trough_entry_parramatta,days_since_trough_entry_penrith,days_since_trough_entry_randwick,days_since_trough_entry_rockdale,days_since_trough_entry_ryde,days_since_trough_entry_strathfield,days_since_trough_entry_sutherland_shire,days_since_trough_entry_sydney,days_since_trough_entry_the_hills_shire,days_since_trough_entry_waverley,days_since_trough_entry_willoughby,days_since_trough_entry_wollondilly,days_since_trough_entry_woollahra
lga_mean_cents,0.001218360116608868,0.001605615251612578,0.004377448179321334,0.00744051747088708,0.004049143643053124,0.0066936532078000315,0.007374893626510894,0.005621047938882308,0.013213886561813569,0.004256602502830116,0.03250644034385966,0.003524687343765311,0.0010953998194120906,0.0005278538964826633,0.007290719824321098,0.0,0.001626637897190087,0.0001498788445640856,0.0,0.0034636131370885882,0.0009172876348473295,0.0,0.0006871619282525566,8.871880328966475e-05,0.002738201922923228,0.0010952805440123056,0.0020927538604862557,0.0003565347153211693,0.000682848477920615,0.0,2.2611343667343663e-06,0.0,0.0,0.0005124723124898237,0.00047512367905008584,0.0003786210176774613,0.0005271714181208216,0.00015495990002063317,0.00067577573073059,0.0014710042304811974,0.00048224831247282594,0.0002356783187613204,0.0007996590511950011,0.0003302551742893913,0.00025378463784034614,2.2645587259981716e-06,0.0,0.0,0.0011392489394519345,0.00024650938740244927
station_minus_lga_mean_cents,0.00803073738458806,0.001292530315199812,0.01813917954090694,0.011676715441791096,0.0046882469422902225,0.0030662019212019747,0.015692822080919606,0.01336488753528544,0.03928670865509479,0.06450563111064749,0.003524687343765309,0.42488160455892815,0.0060875247272612525,0.01247444074538361,0.05786587567375389,0.0,0.0009237606509607353,0.000832704864992268,0.0,0.0011858930888468205,0.00409326645483486,0.0007255938878737919,0.0017308397008980322,0.0011882748509564167,0.008124155485092856,0.002519470636251709,0.005700160630396008,0.0027983339073059835,0.0014470913017953114,0.0,2.0908959956263223e-05,0.0022072649328294205,0.0,0.0010115283226770511,0.0019293709539824535,0.00012330709524125931,0.0016396588156740103,0.0005669441085246453,0.0017811833149339689,0.002558387491104445,0.0007543697961917031,0.0014796653160618076,0.006136000442910012,0.000653942855426367,0.0006476199704328979,7.17397390605528e-05,0.0,0.004653816851695703,0.0025598117163103044,0.002783318423921415
brand_mean_cents,0.0008418778557554594,0.0012752271998810196,0.00614997526693327,0.0008101322880313074,0.0024266589890870553,0.002825161730964092,0.001664907493918616,0.007081284167260571,0.010430865751067964,0.006536021648542813,0.0010953998194120906,0.0060875247272612525,0.04389985590656355,0.0030068519923313244,0.008113769120945967,0.0,0.00025407108183390703,0.0007086237515077509,0.0,0.001435544183800474,0.0014768015436362506,0.00027322647008061257,0.0004009150215487541,0.0003307794098110849,0.0027783544925040413,0.0007874027183857977,0.004211894700797648,0.0007757714510667119,0.0004303512341033942,0.0,9.596468338787075e-05,0.0,0.0,5.903709043196316e-05,0.00025046505673174426,0.0005324998021628187,0.00034330329082505267,0.004138749534649717,0.0004543126505589743,0.00036450942099096534,1.470510155123207e-05,8.509689899223664e-05,0.00031354290387216867,0.0015106096739770606,0.0004314309354403111,0.0,0.0,6.200324301207842e-05,0.000674643500408315,0.0007218946200268643
station_minus_brand_mean_cents,0.003672917683097638,0.003355149240002334,0.00453816691708164,0.0018300936306767349,0.002513047840961069,0.003489470144319778,0.009159682530267109,0.012223565248454247,0.020679728097843898,0.034070759450074005,0.0005278538964826632,0.01247444074538361,0.0030068519923313252,0.15698147898802867,0.006998422657484411,0.0,0.0003369866693888522,0.000652847522140515,0.0,0.002009100810172112,0.005109790045961331,0.0005765544903786906,6.262390382552056e-05,0.0014416703608280867,0.005462315446468935,0.0013080278075540404,0.00207134364108936,0.0017646227342489166,0.0020825021292009104,0.0,0.0,0.00043961339592206634,0.0,0.001038632290574183,0.0009105213904908116,6.043036113140757e-05,0.000626457883748022,0.00018759034703094338,0.0005664557271251382,0.0010478305240704938,0.0015489160274726613,0.0012060894740061785,0.0016795492572696242,2.974651508810661e-05,0.0004914668926230322,0.0,0.0,0.0012022111028202461,0.001933822970778183,0.004523930994738567
stickiness_score,0.009349116995354465,0.0054078817377130935,0.016126762506688572,0.005337656037998556,0.004144195437457015,0.008207272324909273,0.013647505074886105,0.035027229854797864,0.06160098683316806,0.026441739326632085,0.007290719824321095,0.05786587567375389,0.008113769120945967,0.006998422657484411,0.4821496025373833,0.0,0.0006566989832552332,0.0008689553405092308,0.0,0.0013543783494735784,0.003991137283826256,0.001124759723423256,0.0008320240693705177,0.0005755276813926674,0.006215915638063224,0.001374444879368752,0.002839896628929438,0.0030535934232386766,0.004113636952654805,0.0,4.07243112682391e-05,0.004732328162945711,0.0,0.0010147682476463408,0.0028944010335665064,0.0012451690674634094,0.002486006956425238,0.00039114630673241663,0.005197304942859701,0.008306523268732866,0.002363621220859748,0.0012122773554745685,0.004190385287265995,0.002589160412344324,0.003456117977069356,1.5322262213655794e-05,0.0,0.0022813232917824264,0.0017216549158947493,0.00808559475348369
days_since_trough_entry_bayside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
days_since_trough_entry_blacktown,0.000514573171556515,0.0004218256668065885,0.0005459581230499066,0.0018942454387905583,0.0006862370724635571,0.0018825546817237131,0.0016229431683009508,0.0020287217353630676,0.0021320308716440486,0.0005595675775696174,0.0016266378971900866,0.0009237606509607353,0.00025407108183390746,0.00033698666938885235,0.0006566989832552335,0.0,0.010122036343266085,0.00014876917898708526,0.0,1.3227818495017438e-06,2.4600121142828754e-06,0.0003352866921751149,6.588900352123527e-05,0.0,0.00037884525983419284,0.00012241821241477314,0.0026705698164363424,0.0020989256743979214,0.00015611130046715353,0.0,0.0004512838480672533,0.0004866576141095039,0.0,1.5087224611102387e-05,0.0002614384063052781,2.6576424780623225e-06,0.000226297267245087,7.671441385382037e-07,0.0,0.00025708405955413846,0.0,1.2888796542452302e-06,2.1457348684220858e-05,0.0,0.0,0.0,0.0,2.8115217565758916e-07,0.00022869773762877103,0.0002966506842559058
days_since_trough_entry_blue_mountains,0.0014657650043174073,0.0,0.0035594356770439466,0.0012550244198706762,0.0020648068652939,0.0014354135329802682,0.007004929249558183,0.04983584978820549,0.014477781045123938,0.0007646666370945644,0.00014987884456408554,0.0008327048649922681,0.0007086237515077517,0.000652847522140515,0.0008689553405092312,0.0,0.00014876917898708517,0.11955672955705283,0.0,0.0020144646423636277,6.088134045764218e-06,0.0005142843253332967,0.00017801425017007128,0.00019378738626690516,0.0011459968127348007,0.0,3.9537372772656145e-05,0.0009434958356446887,0.0005462324795736356,0.0,0.0,0.00011491889438853148,0.0,0.0009063448502021874,0.0022034201682897747,0.0009971667386729987,0.0,4.9377942617151724e-05,0.0011636202870411209,0.004296902898054762,0.0003868900095314266,1.696785298414928e-05,3.430806687699999e-05,0.0,7.178002578729876e-05,0.0,0.0,0.0,9.20460489667245e-05,0.0029139691562212336
days_since_trough_entry_botany_bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
days_since_trough_entry_burwood,0.0012806802359694347,0.00025890938468536325,0.003782030741941604,0.0026806902961514605,0.0042528156798933995,0.0037260943067508063,0.005974611560715195,0.00817324561267938,0.013182027004803767,0.0017015502011458027,0.0034636131370885887,0.00118589308884682,0.0014355441838004742,0.002009100810172112,0.0013543783494735792,0.0,1.3227818495017444e-06,0.0020144646423636277,0.0,0.061842477364439485,0.00029842561102716886,3.983213307928889e-05,0.000314306161055487,9.31714764894231e-06,0.004257261554423258,0.002510948243832091,0.0008788434357370606,0.003437642855651868,7.039506743659959e-06,0.0,0.0007746286685268399,0.0,0.0,1.4486915385902081e-05,0.0004366226613626673,0.0010211415120531314,0.00021944388920794148,0.0,0.0,0.00010718691560727419,0.0003282249274554151,0.00023924679970770824,0.0006746132912853745,0.00015317665251188094,0.001224402611319127,0.0,0.0,0.0010131040698989104,0.00024144307132700245,0.001301315467347168
days_since_trough_entry_camden,0.0011562597594230628,9.248883666850447e-05,0.003931529151691212,0.0008226199496519351,0.002185343137621566,0.0012647954097432003,0.0012542511118720115,0.013117703973153635,0.008311121763570902,0.00277900564074509,0.0009172876348473297,0.004093266454834858,0.001476801543636251,0.005109790045961329,0.003991137283826256,0.0,2.4600121142828928e-06,6.088134045764215e-06,0.0,0.00029842561102716875,0.03141208243780667,0.0020990630877483455,0.00024079984581953145,4.0653941563826464e-05,0.006266068675301865,2.8551666162082194e-05,0.0017341146708998616,0.0008310306012691673,0.00102023277027056,0.0,1.1624649094622768e-05,0.00010197464893805197,0.0,0.0006879172465139407,0.001370633551191013,2.6823168872356312e-05,0.00015141658725746412,3.3527941117630135e-05,0.0009162795389591823,0.0013240351215555537,0.0012229265302862722,0.00013490333998142568,0.00019486103578171283,0.0,0.0001334755097593156,6.931472538076947e-05,0.0,0.0004180773831050386,0.0019442598140941272,0.0014063303689542813
days_since_trough_entry_campbelltown,0.0,0.00013696591248201634,0.001649210574490411,0.0002129438146828692,0.0017263832717819892,0.0002635201475138853,0.00027501875087571905,0.0019146649945000638,0.0020600634495436974,0.001030397886403727,0.0,0.000725593887873791,0.0002732264700806127,0.0005765544903786911,0.0011247597234232574,0.0,0.00033528669217511786,0.0005142843253332971,0.0,3.9832133079289004e-05,0.0020990630877483463,0.004384454728784497,0.0,2.1091510786906775e-05,0.00020993122077628786,0.0003567563069252387,0.0006055514154055622,4.5776397244059956e-05,0.00034585952053254064,0.0,4.140044058171447e-05,0.0,0.0,0.0,0.00011958003663956983,0.0,0.0,0.0,0.0,0.0014979902813598697,0.0,5.609147652521079e-05,0.0009969252242264966,0.0,3.1813340370593705e-05,0.0,0.0,0.0004102216072664765,0.0005204633623935375,0.001295014034149375
days_since_trough_entry_canada_bay,0.0,0.0,0.0023576743909234713,0.001882991166413199,0.001368675314666058,0.004515778166083483,0.0004490551035986326,0.00023264919868086253,0.0019868828778013916,0.0006071155281097082,0.0006871619282525569,0.0017308397008980322,0.0004009150215487541,6.262390382552049e-05,0.0008320240693705176,0.0,6.588900352123513e-05,0.00017801425017007128,0.0,0.00031430616105548723,0.0002407998458195345,0.0,0.016747297196056887,7.20575321749419e-05,0.0006933413429756144,0.0,0.0003890260048497134,0.0009061755221251329,4.0643901671755825e-05,0.0,3.859283894899577e-05,1.2665583218295926e-05,0.0,0.0,3.073326418443638e-05,0.0,0.0,9.667159305323007e-05,0.0,0.0,0.0,0.0002361934512774559,0.0,0.0,9.576335426534316e-05,0.00038142101949084726,0.0,0.0,0.0005133979968178738,0.0007423298973997954
days_since_trough_entry_canterbury_bankstown,0.0,0.0,0.0014533711136497105,0.0008319352082282768,0.0001931942599239886,2.1716333419365464e-05,8.579182099346855e-05,0.005430548048411225,0.001647682897849597,0.001883787924142227,8.871880328966481e-05,0.0011882748509564167,0.0003307794098110849,0.0014416703608280846,0.0005755276813926675,0.0,0.0,0.00019378738626690562,0.0,9.317147648942349e-06,4.065394156382649e-05,2.1091510786906785e-05,7.20575321749398e-05,0.013121557502509677,1.3475204810718004e-05,0.0,0.00022249598786514344,0.0003613817582536608,0.0,0.0,1.690172001563281e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0010767010817598005,0.0,0.0,0.0,0.0011869993435349724,0.0,0.0,1.963124777144346e-05,7.679631545425343e-05,0.0,0.0,3.534885551711782e-05,0.0
days_since_trough_entry_cumberland,0.0009602682791857721,0.0,0.008626873730797967,0.005774505507030476,0.0039008801658746983,0.00676253218854115,0.008332251185431083,0.004679420350246308,0.009350669643905404,0.00980670148564945,0.00273820192292323,0.00812415548509286,0.0027783544925040426,0.005462315446468934,0.006215915638063224,0.0,0.00037884525983419284,0.0011459968127348005,0.0,0.004257261554423259,0.006266068675301865,0.00020993122077628794,0.0006933413429756146,1.3475204810717904e-05,0.07146926924382817,0.0003284871342438079,0.001312090723601067,0.0011598662234373624,0.0032853265715471736,0.0,1.1049242635264825e-06,0.00011301000048488502,0.0,0.0009542352708558155,0.0002801894488151141,0.0006894780835179051,0.0,0.00015795299225075278,0.0017082248325616454,0.0034198558140048074,0.0,9.878748610419063e-05,0.0022667562003031287,0.00022381656086323213,0.0022535773030252127,0.0,0.0,0.0,0.002529796232038751,0.0030100281313326883
days_since_trough_entry_fairfield,0.00027819746800895927,0.0005379350667377034,0.002079659927555927,0.0007099213552014329,0.002026782607001464,0.0006562602704493289,0.0014446716466918082,0.0007383720790176587,0.003560314676079647,0.0016178725539931493,0.0010952805440123056,0.00251947063625171,0.0007874027183857977,0.0013080278075540412,0.0013744448793687517,0.0,0.00012241821241477314,0.0,0.0,0.002510948243832092,2.8551666162082194e-05,0.00035675630692523865,0.0,0.0,0.00032848713424380745,0.014144571211837808,0.0007058954189384073,0.0003936122311316943,0.0,0.0,0.0,0.0,0.0,0.0,0.00044143615258908874,0.0,4.570454795025259e-06,0.0,0.0,5.563266509342265e-05,5.7924628822182015e-06,1.0245974091330538e-05,0.0,0.0,0.0,0.0,0.0,0.0009836166677501567,5.039440221695617e-05,0.0003279620960484096
