fold,regime,run,ll_all_mean,ll_all_median,ll_all_seedstd,ll_hard25_mean,ll_hard25_median,ll_hard25_seedstd,ll_all_mean_base,ll_hard25_mean_base,ll_all_median_base,ll_hard25_median_base,delta_ll_all_mean,delta_ll_all_median,delta_ll_hard25_mean,delta_ll_hard25_median
6,normal,R1,0.21556823249114485,0.2160194455624353,0.003048146922003035,0.7620654820212107,0.7610053558021617,0.009765648745716315,0.21590728875119275,0.7720116018808956,0.21902773344642792,0.7817451929818079,-0.0003390562600479041,-0.0030082878839926275,-0.009946119859684854,-0.020739837179646226
6,normal,R2,0.2154538527690697,0.21581093564223236,0.005694322537054419,0.7691782578920514,0.7631455985239856,0.025953182379170374,0.21590728875119275,0.7720116018808956,0.21902773344642792,0.7817451929818079,-0.0004534359821230516,-0.0032167978041955647,-0.0028333439888441614,-0.018599594457822333
7,normal,R0,0.2693305037635192,0.2702228765869502,0.007654529183174348,0.8787983967714977,0.8812717528505722,0.04484388898428989,0.2693305037635192,0.8787983967714977,0.2702228765869502,0.8812717528505722,0.0,0.0,0.0,0.0
7,normal,R1,0.2727099532315457,0.27283425841074077,0.005135152585468308,0.8836769989822111,0.8901403628405903,0.01594659800348658,0.2693305037635192,0.8787983967714977,0.2702228765869502,0.8812717528505722,0.0033794494680264853,0.0026113818237905595,0.004878602210713345,0.00886860999001804
7,normal,R2,0.26919260923862,0.2710603163104867,0.0070245775348941565,0.8770012335348568,0.8866512896849482,0.04025610018536281,0.2693305037635192,0.8787983967714977,0.2702228765869502,0.8812717528505722,-0.00013789452489920695,0.0008374397235365039,-0.0017971632366409196,0.005379536834375975
8,normal,R0,0.23753972291357045,0.2386851860893977,0.006702184559802823,0.9194513700316976,0.9143088121850698,0.025666376818363056,0.23753972291357045,0.9194513700316976,0.2386851860893977,0.9143088121850698,0.0,0.0,0.0,0.0
8,normal,R1,0.23545220800734068,0.23119551394894614,0.009200105731039255,0.9131447790285684,0.8986151401199124,0.037788154877343494,0.23753972291357045,0.9194513700316976,0.2386851860893977,0.9143088121850698,-0.0020875149062297704,-0.00748967214045157,-0.006306591003129247,-0.01569367206515737
8,normal,R2,0.2373216806868097,0.235179377386498,0.009179677249821907,0.9180449251762042,0.9143088121850698,0.030911378267789162,0.23753972291357045,0.9194513700316976,0.2386851860893977,0.9143088121850698,-0.0002180422267607507,-0.00350580870289971,-0.0014064448554934605,0.0
9,shock,R0,0.3513524453042834,0.3556346968841709,0.010600508217269052,1.26463373632239,1.2814501024545784,0.04156916458282652,0.3513524453042834,1.26463373632239,0.3556346968841709,1.2814501024545784,0.0,0.0,0.0,0.0
9,shock,R1,0.3120092073749446,0.3126232624124689,0.004027653976765238,1.104406621885962,1.104852409675342,0.013099027839219872,0.3513524453042834,1.26463373632239,0.3556346968841709,1.2814501024545784,-0.039343237929338803,-0.04301143447170197,-0.160227114436428,-0.17659769277923631
9,shock,R2,0.3513524453042834,0.3556346968841709,0.010600508217269052,1.26463373632239,1.2814501024545784,0.04156916458282652,0.3513524453042834,1.26463373632239,0.3556346968841709,1.2814501024545784,0.0,0.0,0.0,0.0
10,normal,R0,0.246048728879298,0.24613239439950638,0.0009786992544739367,0.9186718626472962,0.9216099606629986,0.009240759374381584,0.246048728879298,0.9186718626472962,0.24613239439950638,0.9216099606629986,0.0,0.0,0.0,0.0
10,normal,R1,0.24617302517856582,0.24581821680805213,0.004070530379645069,0.9081253511162231,0.9114100557354247,0.014961958581365757,0.246048728879298,0.9186718626472962,0.24613239439950638,0.9216099606629986,0.0001242962992678287,-0.0003141775914542455,-0.01054651153107311,-0.010199904927573944
10,normal,R2,0.24677580608310085,0.24615653551000785,0.0016542655703527215,0.9205997117496716,0.9216099606629986,0.01163272443779022,0.246048728879298,0.9186718626472962,0.24613239439950638,0.9216099606629986,0.0007270772038028561,2.4141110501474383e-05,0.001927849102375423,0.0
11,normal,R0,0.32245948388296686,0.3254767299082686,0.009277319969039513,1.0484985415136305,1.0464950920926501,0.03153660411567933,0.32245948388296686,1.0484985415136305,0.3254767299082686,1.0464950920926501,0.0,0.0,0.0,0.0
11,normal,R1,0.32767986939096955,0.3302986642308449,0.005505719142375551,1.0396911021061086,1.0257649261315547,0.03048621043491669,0.32245948388296686,1.0484985415136305,0.3254767299082686,1.0464950920926501,0.0052203855080026895,0.004821934322576327,-0.008807439407521933,-0.020730165961095448
11,normal,R2,0.32579405264297795,0.32664951648451024,0.009425822834363062,1.0438290129560233,1.0370295800004037,0.03426879205430382,0.32245948388296686,1.0484985415136305,0.3254767299082686,1.0464950920926501,0.003334568760011092,0.0011727865762416467,-0.004669528557607272,-0.009465512092246442
12,normal,R0,0.3249099765610405,0.32513979184290526,0.002779080617011587,1.1107615004052893,1.1048584191290705,0.013373717278184831,0.3249099765610405,1.1107615004052893,0.32513979184290526,1.1048584191290705,0.0,0.0,0.0,0.0
12,normal,R1,0.32971184065985415,0.3322234156076559,0.009093255442424241,1.126036685160814,1.1287432716433792,0.04861451487447612,0.3249099765610405,1.1107615004052893,0.32513979184290526,1.1048584191290705,0.0048018640988136685,0.007083623764750635,0.015275184755524585,0.02388485251430872
12,normal,R2,0.3249099765610405,0.32513979184290526,0.002779080617011587,1.1107615004052893,1.1048584191290705,0.013373717278184831,0.3249099765610405,1.1107615004052893,0.32513979184290526,1.1048584191290705,0.0,0.0,0.0,0.0
13,shock,R0,0.2711182951740366,0.2692702058748726,0.0028067092384149567,0.9458553670258922,0.9453714938269318,0.010876854697635028,0.2711182951740366,0.9458553670258922,0.2692702058748726,0.9453714938269318,0.0,0.0,0.0,0.0
13,shock,R1,0.2789762815522491,0.2788130486814287,0.0032375561479157542,0.9305900307159021,0.9330670980604479,0.021930301792513648,0.2711182951740366,0.9458553670258922,0.2692702058748726,0.9453714938269318,0.007857986378212445,0.009542842806556096,-0.015265336309990163,-0.0123043957664839
13,shock,R2,0.271298028668638,0.27016879823644524,0.0026848993335462437,0.9464521205000376,0.9453714938269318,0.011435278061580238,0.2711182951740366,0.9458553670258922,0.2692702058748726,0.9453714938269318,0.0001797334946013751,0.0008985923615726366,0.0005967534741453395,0.0
14,normal,R0,0.35382416640902703,0.35324064949840706,0.0026506879681119757,1.1735803070470006,1.1644994972143141,0.01983442306651598,0.35382416640902703,1.1735803070470006,0.35324064949840706,1.1644994972143141,0.0,0.0,0.0,0.0
14,normal,R1,0.35582653785927065,0.3547345651467571,0.002376923666110847,1.1824279751348432,1.1815520846874081,0.013273656237965238,0.35382416640902703,1.1735803070470006,0.35324064949840706,1.1644994972143141,0.002002371450243623,0.0014939156483500526,0.008847668087842653,0.017052587473094016
14,normal,R2,0.35382416640902703,0.35324064949840706,0.0026506879681119757,1.1735803070470006,1.1644994972143141,0.01983442306651598,0.35382416640902703,1.1735803070470006,0.35324064949840706,1.1644994972143141,0.0,0.0,0.0,0.0
