fold,regime,val_start,val_end,val_rows,run,n_features,seed,ll_all,ll_hard25,fit_s
2,normal,2022-02-03,2022-05-03,49966,R0,54,45,0.227489034935059,0.7494874884862118,2.2835531249875203
2,normal,2022-02-03,2022-05-03,49966,R0,54,46,0.21364422296608626,0.6903002052940344,2.35130995902
2,normal,2022-02-03,2022-05-03,49966,R1,54,42,0.21856587740674588,0.7130257940647908,2.3004954580101185
2,normal,2022-02-03,2022-05-03,49966,R1,54,43,0.21867518253027365,0.7121948831371602,2.425450125010684
2,normal,2022-02-03,2022-05-03,49966,R1,54,44,0.21293027269913778,0.6991930009447809,2.382198875013273
2,normal,2022-02-03,2022-05-03,49966,R1,54,45,0.22617140418314435,0.7489131589747678,2.4105614170548506
2,normal,2022-02-03,2022-05-03,49966,R1,54,46,0.35416195512317095,1.0699265961434514,2.2903568749898113
2,normal,2022-02-03,2022-05-03,49966,R2,55,42,0.20357992870710986,0.6737999224404305,2.377038625010755
2,normal,2022-02-03,2022-05-03,49966,R2,55,43,0.21144473018650836,0.7028642850985134,2.3445191250066273
2,normal,2022-02-03,2022-05-03,49966,R2,55,44,0.4331174155951685,1.2913675227929804,2.3399068749858998
2,normal,2022-02-03,2022-05-03,49966,R2,55,45,0.22229067419707083,0.722742769163338,2.510120790975634
2,normal,2022-02-03,2022-05-03,49966,R2,55,46,0.21513185077327804,0.6981952471188853,2.4906336669810116
3,normal,2022-05-04,2022-08-01,53719,R0,54,42,0.3533803312359529,1.2773706118308652,2.754325624962803
3,normal,2022-05-04,2022-08-01,53719,R0,54,43,0.37615816225319487,1.3048763351686112,2.636651750013698
3,normal,2022-05-04,2022-08-01,53719,R0,54,44,0.3731435798289138,1.2455186365524689,2.542407208995428
3,normal,2022-05-04,2022-08-01,53719,R0,54,45,0.398485419401291,1.2464142088930332,2.8295429999707267
3,normal,2022-05-04,2022-08-01,53719,R0,54,46,0.34320931001614136,1.1905440713771922,2.866314915998373
3,normal,2022-05-04,2022-08-01,53719,R1,54,42,0.3799333735177793,1.360724416142384,2.732556624978315
3,normal,2022-05-04,2022-08-01,53719,R1,54,43,0.35246619721761335,1.2482173087839463,2.7510823330376297
3,normal,2022-05-04,2022-08-01,53719,R1,54,44,0.35955306252747665,1.268900035209879,2.730058332963381
3,normal,2022-05-04,2022-08-01,53719,R1,54,45,0.37685863895218535,1.352231304273023,2.7172940419986844
3,normal,2022-05-04,2022-08-01,53719,R1,54,46,0.37640713371009277,1.3091178673844217,2.808150957978796
3,normal,2022-05-04,2022-08-01,53719,R2,55,42,0.358395763804866,1.2398427228493616,2.8832764999824576
3,normal,2022-05-04,2022-08-01,53719,R2,55,43,0.3866150783370501,1.3499481316093003,2.7938884170143865
3,normal,2022-05-04,2022-08-01,53719,R2,55,44,0.35008577256268925,1.2199258022101858,2.9099413749645464
3,normal,2022-05-04,2022-08-01,53719,R2,55,45,0.3856986683678766,1.3767560893710267,2.9391623339615762
3,normal,2022-05-04,2022-08-01,53719,R2,55,46,0.3074302323189149,1.1002092170163553,2.799978375027422
4,shock,2022-08-02,2022-10-30,58317,R0,54,42,0.41623203325908653,1.2038273358993987,3.6215291669941507
4,shock,2022-08-02,2022-10-30,58317,R0,54,43,0.43646647918378106,1.1812018646852247,3.126570916036144
4,shock,2022-08-02,2022-10-30,58317,R0,54,44,0.46661965494738183,1.2968425871129394,2.8441307499888353
4,shock,2022-08-02,2022-10-30,58317,R0,54,45,0.49604476370152173,1.3177893614783684,2.845843084040098
4,shock,2022-08-02,2022-10-30,58317,R0,54,46,0.4201963973717229,1.1874046673730179,2.8691987080383115
4,shock,2022-08-02,2022-10-30,58317,R1,54,42,0.4441007551376786,1.3193303297414658,2.759623040969018
4,shock,2022-08-02,2022-10-30,58317,R1,54,43,0.40814592055745735,1.2264545813203167,2.9494924590107985
4,shock,2022-08-02,2022-10-30,58317,R1,54,44,0.773556117815786,2.2292284134647136,2.7601111250114627
4,shock,2022-08-02,2022-10-30,58317,R1,54,45,0.42840140697594054,1.223356796327263,2.88885616697371
4,shock,2022-08-02,2022-10-30,58317,R1,54,46,0.43675625198928325,1.2770290794775403,2.886458916007541
4,shock,2022-08-02,2022-10-30,58317,R2,55,42,0.41623203325908653,1.2038273358993987,3.1154319170163944
4,shock,2022-08-02,2022-10-30,58317,R2,55,43,0.45561139421838404,1.2479277924408856,3.090549166954588
4,shock,2022-08-02,2022-10-30,58317,R2,55,44,0.46661965494738183,1.2968425871129394,2.96306633396307
4,shock,2022-08-02,2022-10-30,58317,R2,55,45,0.49839858123500297,1.311813585073185,2.9999677080195397
4,shock,2022-08-02,2022-10-30,58317,R2,55,46,0.4201963973717229,1.1874046673730179,2.984342416981235
5,normal,2022-10-31,2023-01-28,57613,R0,54,42,0.2668937509387122,0.8790195073781703,3.2763910409994423
5,normal,2022-10-31,2023-01-28,57613,R0,54,43,0.27052658607718727,0.8746251210414911,3.0875837500207126
5,normal,2022-10-31,2023-01-28,57613,R0,54,44,0.2669644257897569,0.8898489291121784,3.0049150839913636
5,normal,2022-10-31,2023-01-28,57613,R0,54,45,0.27021669184814007,0.8791270600789663,3.0818156249588355
5,normal,2022-10-31,2023-01-28,57613,R0,54,46,0.2693615891079595,0.8775164702349181,2.9985361250001006
5,normal,2022-10-31,2023-01-28,57613,R1,54,42,0.2617987258827414,0.8313521995732692,3.0761939589865506
5,normal,2022-10-31,2023-01-28,57613,R1,54,43,0.2669915425969256,0.8781282522340247,2.975842541025486
5,normal,2022-10-31,2023-01-28,57613,R1,54,44,0.2587795585515669,0.8358187441968037,2.9323934169951826
5,normal,2022-10-31,2023-01-28,57613,R1,54,45,0.28827483470947457,0.8824148873522385,3.17213704099413
5,normal,2022-10-31,2023-01-28,57613,R1,54,46,0.26146219167237733,0.863542776078302,2.9343860000371933
5,normal,2022-10-31,2023-01-28,57613,R2,55,42,0.2668937509387122,0.8790195073781703,3.3418444589478895
5,normal,2022-10-31,2023-01-28,57613,R2,55,43,0.27052658607718727,0.8746251210414911,3.160201624967158
5,normal,2022-10-31,2023-01-28,57613,R2,55,44,0.2669644257897569,0.8898489291121784,3.2069178750389256
5,normal,2022-10-31,2023-01-28,57613,R2,55,45,0.27021669184814007,0.8791270600789663,3.1069395420490764
5,normal,2022-10-31,2023-01-28,57613,R2,55,46,0.2693615891079595,0.8775164702349181,3.190168875036761
6,normal,2023-01-29,2023-04-28,57361,R0,54,42,0.22176337598233622,0.7963859029581308,3.3743919580010697
6,normal,2023-01-29,2023-04-28,57361,R0,54,43,0.21926982221723787,0.7918605477974683,3.244582207989879
6,normal,2023-01-29,2023-04-28,57361,R0,54,44,0.210661146347734,0.7478985216180358,3.3958959170267917
6,normal,2023-01-29,2023-04-28,57361,R0,54,45,0.21902773344642792,0.7817451929818079,3.184755124966614
6,normal,2023-01-29,2023-04-28,57361,R0,54,46,0.2088143657622278,0.7421678440490351,3.450454583973624
6,normal,2023-01-29,2023-04-28,57361,R1,54,42,0.2160194455624353,0.7610053558021617,3.2260077499668114
6,normal,2023-01-29,2023-04-28,57361,R1,54,43,0.21822918205300276,0.7771723156458239,3.056681459012907
6,normal,2023-01-29,2023-04-28,57361,R1,54,44,0.21422428203756094,0.7561015903001223,3.368809000006877
6,normal,2023-01-29,2023-04-28,57361,R1,54,45,0.21104331173645985,0.7515472951654001,3.2035868749953806
6,normal,2023-01-29,2023-04-28,57361,R1,54,46,0.2183249410662655,0.7645008531925456,3.141412125027273
6,normal,2023-01-29,2023-04-28,57361,R2,55,42,0.22176337598233622,0.7963859029581308,3.50846762501169
6,normal,2023-01-29,2023-04-28,57361,R2,55,43,0.2202194401108182,0.7962934223110696,3.398520000046119
6,normal,2023-01-29,2023-04-28,57361,R2,55,44,0.210661146347734,0.7478985216180358,3.381068749993574
6,normal,2023-01-29,2023-04-28,57361,R2,55,45,0.21581093564223236,0.7631455985239856,3.3467613329994492
6,normal,2023-01-29,2023-04-28,57361,R2,55,46,0.2088143657622278,0.7421678440490351,3.4367593330098316
7,normal,2023-04-29,2023-07-27,57651,R0,54,42,0.2710603163104867,0.8981521089512258,3.409217832959257
7,normal,2023-04-29,2023-07-27,57651,R0,54,43,0.2614343200599538,0.8440248126855099,3.2245032920036465
7,normal,2023-04-29,2023-07-27,57651,R0,54,44,0.28075162044613833,0.9417083695314319,3.322265458002221
7,normal,2023-04-29,2023-07-27,57651,R0,54,45,0.26318338541406683,0.8288349398387485,3.2236782910185866
7,normal,2023-04-29,2023-07-27,57651,R0,54,46,0.2702228765869502,0.8812717528505722,3.2931910409824923
7,normal,2023-04-29,2023-07-27,57651,R1,54,42,0.27328565785468034,0.8901403628405903,3.281232582987286
7,normal,2023-04-29,2023-07-27,57651,R1,54,43,0.28063642084836515,0.8942420569378868,3.384164916991722
7,normal,2023-04-29,2023-07-27,57651,R1,54,44,0.26999285604161466,0.8563401534347876,3.2993866660399362
7,normal,2023-04-29,2023-07-27,57651,R1,54,45,0.26680057300232746,0.8832033557890345,3.268673416983802
7,normal,2023-04-29,2023-07-27,57651,R1,54,46,0.27283425841074077,0.8944590659087559,3.1717214999953285
7,normal,2023-04-29,2023-07-27,57651,R2,55,42,0.2710603163104867,0.8981521089512258,3.2974514159723185
7,normal,2023-04-29,2023-07-27,57651,R2,55,43,0.2614343200599538,0.8440248126855099,3.1501543750055134
7,normal,2023-04-29,2023-07-27,57651,R2,55,44,0.27880215125161667,0.9273430165138513,3.3343246249714866
7,normal,2023-04-29,2023-07-27,57651,R2,55,45,0.26318338541406683,0.8288349398387485,3.5468894580262713
7,normal,2023-04-29,2023-07-27,57651,R2,55,46,0.271482873156976,0.8866512896849482,3.7495686250040308
8,normal,2023-07-28,2023-10-25,59700,R0,54,42,0.235179377386498,0.9143088121850698,3.6310056670336053
8,normal,2023-07-28,2023-10-25,59700,R0,54,43,0.24164659725003462,0.9382774443604344,3.8286326249944977
8,normal,2023-07-28,2023-10-25,59700,R0,54,44,0.24480422544181202,0.9483296103822421,4.193848000024445
8,normal,2023-07-28,2023-10-25,59700,R0,54,45,0.2273832284001099,0.8821317840301723,3.8990927090053447
8,normal,2023-07-28,2023-10-25,59700,R0,54,46,0.2386851860893977,0.9142091992005696,3.5981420000316575
8,normal,2023-07-28,2023-10-25,59700,R1,54,42,0.23071153821092372,0.889408170691316,3.4529447910026647
8,normal,2023-07-28,2023-10-25,59700,R1,54,43,0.2507462354844621,0.9751663623995371,3.4060865829815157
8,normal,2023-07-28,2023-10-25,59700,R1,54,44,0.23119551394894614,0.8986151401199124,3.3864952080184594
8,normal,2023-07-28,2023-10-25,59700,R1,54,45,0.23700723268738252,0.9213719214962947,3.299569957947824
8,normal,2023-07-28,2023-10-25,59700,R1,54,46,0.22760051970498882,0.8811623004357818,3.8156627080170438
8,normal,2023-07-28,2023-10-25,59700,R2,55,42,0.235179377386498,0.9143088121850698,3.4877358340309
8,normal,2023-07-28,2023-10-25,59700,R2,55,43,0.23050762677973746,0.894916033615369,3.457351540972013
8,normal,2023-07-28,2023-10-25,59700,R2,55,44,0.24467560068340397,0.9468994798335699,3.461867083038669
8,normal,2023-07-28,2023-10-25,59700,R2,55,45,0.2273832284001099,0.8821317840301723,3.7028927089995705
8,normal,2023-07-28,2023-10-25,59700,R2,55,46,0.2488625701842991,0.9519685162168396,3.454328749969136
9,shock,2023-10-26,2024-01-23,60022,R0,54,42,0.3325547012778433,1.1910928338148594,3.7187586670042947
9,shock,2023-10-26,2024-01-23,60022,R0,54,43,0.35724209227089526,1.292570401761146,3.4510845000040717
9,shock,2023-10-26,2024-01-23,60022,R0,54,44,0.3539478564333298,1.2826400970546004,3.53947816696018
9,shock,2023-10-26,2024-01-23,60022,R0,54,45,0.3573828796551775,1.2814501024545784,3.540943874977529
9,shock,2023-10-26,2024-01-23,60022,R0,54,46,0.3556346968841709,1.2754152465267667,3.4629082499886863
9,shock,2023-10-26,2024-01-23,60022,R1,54,42,0.3120711476269794,1.104852409675342,4.023551709018648
9,shock,2023-10-26,2024-01-23,60022,R1,54,43,0.30562609636299337,1.0846609079303189,3.5153847910114564
9,shock,2023-10-26,2024-01-23,60022,R1,54,44,0.3129291940689735,1.1009448584889325,3.728954541962594
9,shock,2023-10-26,2024-01-23,60022,R1,54,45,0.31679633640330773,1.119338178797204,3.745818458031863
9,shock,2023-10-26,2024-01-23,60022,R1,54,46,0.3126232624124689,1.112236754538013,3.882081957999617
9,shock,2023-10-26,2024-01-23,60022,R2,55,42,0.3325547012778433,1.1910928338148594,4.046500500000548
9,shock,2023-10-26,2024-01-23,60022,R2,55,43,0.35724209227089526,1.292570401761146,4.019267124996986
9,shock,2023-10-26,2024-01-23,60022,R2,55,44,0.3539478564333298,1.2826400970546004,3.9298902499722317
9,shock,2023-10-26,2024-01-23,60022,R2,55,45,0.3573828796551775,1.2814501024545784,3.6387383750407025
9,shock,2023-10-26,2024-01-23,60022,R2,55,46,0.3556346968841709,1.2754152465267667,3.6686467079562135
10,normal,2024-01-24,2024-04-22,58953,R0,54,42,0.24615653551000785,0.9173463566887627,3.936377583013382
10,normal,2024-01-24,2024-04-22,58953,R0,54,43,0.24485919729442063,0.9033012894719745,3.671071832999587
10,normal,2024-01-24,2024-04-22,58953,R0,54,44,0.2475223713464651,0.9259260913329439,3.460338834032882
10,normal,2024-01-24,2024-04-22,58953,R0,54,45,0.24613239439950638,0.9216099606629986,3.5357083750423044
10,normal,2024-01-24,2024-04-22,58953,R0,54,46,0.2455731458460899,0.9251756150798008,3.5709641249850392
10,normal,2024-01-24,2024-04-22,58953,R1,54,42,0.2476384422356127,0.9159986698727836,3.534518125001341
10,normal,2024-01-24,2024-04-22,58953,R1,54,43,0.24017422118129297,0.8833470172654517,3.608474166947417
10,normal,2024-01-24,2024-04-22,58953,R1,54,44,0.24581821680805213,0.9114100557354247,3.774179957981687
10,normal,2024-01-24,2024-04-22,58953,R1,54,45,0.24578245723990905,0.9073216988782888,3.7125289159594104
10,normal,2024-01-24,2024-04-22,58953,R1,54,46,0.2514517884279624,0.9225493138291667,3.574305457994342
10,normal,2024-01-24,2024-04-22,58953,R2,55,42,0.24615653551000785,0.9173463566887627,3.912691624951549
10,normal,2024-01-24,2024-04-22,58953,R2,55,43,0.24485919729442063,0.9033012894719745,3.712253208970651
10,normal,2024-01-24,2024-04-22,58953,R2,55,44,0.2475223713464651,0.9259260913329439,3.92648724996252
10,normal,2024-01-24,2024-04-22,58953,R2,55,45,0.24613239439950638,0.9216099606629986,3.9398906249552965
10,normal,2024-01-24,2024-04-22,58953,R2,55,46,0.24920853186510433,0.9348148605916782,4.211046750016976
11,normal,2024-04-23,2024-07-21,59790,R0,54,42,0.31013909598787737,1.003281867308134,4.58269750000909
11,normal,2024-04-23,2024-07-21,59790,R0,54,43,0.3254767299082686,1.07168164247667,4.145878457988147
11,normal,2024-04-23,2024-07-21,59790,R0,54,44,0.33375533526718826,1.0840045256902948,4.280767834046856
11,normal,2024-04-23,2024-07-21,59790,R0,54,45,0.3162767417669897,1.0464950920926501,4.055122582998592
11,normal,2024-04-23,2024-07-21,59790,R0,54,46,0.32664951648451024,1.0370295800004037,3.7644511670223437
11,normal,2024-04-23,2024-07-21,59790,R1,54,42,0.322162258237835,1.0257649261315547,3.642044749984052
11,normal,2024-04-23,2024-07-21,59790,R1,54,43,0.3302986642308449,1.0102920610211785,4.015011500043329
11,normal,2024-04-23,2024-07-21,59790,R1,54,44,0.32131739763659767,1.0194055054049387,3.631877041014377
11,normal,2024-04-23,2024-07-21,59790,R1,54,45,0.332850364648423,1.0820965294008407,3.7363210420007817
11,normal,2024-04-23,2024-07-21,59790,R1,54,46,0.3317706622011472,1.060896488572031,3.5624707909883
11,normal,2024-04-23,2024-07-21,59790,R2,55,42,0.31013909598787737,1.003281867308134,4.065834459033795
11,normal,2024-04-23,2024-07-21,59790,R2,55,43,0.3258358453563038,1.0735613737137575,3.5614608339965343
11,normal,2024-04-23,2024-07-21,59790,R2,55,44,0.33375533526718826,1.0840045256902948,3.6953821670031175
11,normal,2024-04-23,2024-07-21,59790,R2,55,45,0.33259047011900994,1.021267718067527,3.5171639160253108
11,normal,2024-04-23,2024-07-21,59790,R2,55,46,0.32664951648451024,1.0370295800004037,3.6698118339991197
12,normal,2024-07-22,2024-10-19,60944,R0,54,42,0.3286642529338638,1.133501890758279,4.048980083025526
12,normal,2024-07-22,2024-10-19,60944,R0,54,43,0.32102299294218495,1.1047280419191503,3.769030458992347
12,normal,2024-07-22,2024-10-19,60944,R0,54,44,0.32513979184290526,1.111220006761779,3.6871658329619095
12,normal,2024-07-22,2024-10-19,60944,R0,54,45,0.32395798645863433,1.1048584191290705,3.656120874977205
12,normal,2024-07-22,2024-10-19,60944,R0,54,46,0.32576485862761423,1.0994991434581676,3.8864646250149235
12,normal,2024-07-22,2024-10-19,60944,R1,54,42,0.3416851681859091,1.1957348400135464,3.751091209007427
12,normal,2024-07-22,2024-10-19,60944,R1,54,43,0.3322234156076559,1.1443120686281458,3.838949832948856
12,normal,2024-07-22,2024-10-19,60944,R1,54,44,0.3182980899197886,1.072243999862692,3.6219409169862047
12,normal,2024-07-22,2024-10-19,60944,R1,54,45,0.3329768327259105,1.1287432716433792,4.025628125004005
12,normal,2024-07-22,2024-10-19,60944,R1,54,46,0.32337569686000683,1.0891492456563057,3.926058374985587
12,normal,2024-07-22,2024-10-19,60944,R2,55,42,0.3286642529338638,1.133501890758279,4.628248458029702
12,normal,2024-07-22,2024-10-19,60944,R2,55,43,0.32102299294218495,1.1047280419191503,4.242417209025007
12,normal,2024-07-22,2024-10-19,60944,R2,55,44,0.32513979184290526,1.111220006761779,4.350458625005558
12,normal,2024-07-22,2024-10-19,60944,R2,55,45,0.32395798645863433,1.1048584191290705,4.127322124957573
12,normal,2024-07-22,2024-10-19,60944,R2,55,46,0.32576485862761423,1.0994991434581676,4.135189958033152
13,shock,2024-10-20,2025-01-17,59434,R0,54,42,0.2692702058748726,0.9530192139801859,5.200425082992297
13,shock,2024-10-20,2025-01-17,59434,R0,54,43,0.2742150754481029,0.960093674340861,4.600308959023096
13,shock,2024-10-20,2025-01-17,59434,R0,54,44,0.26899473066338525,0.9356722693615718,4.279192999994848
13,shock,2024-10-20,2025-01-17,59434,R0,54,45,0.27416463561872734,0.9453714938269318,4.373438709008042
13,shock,2024-10-20,2025-01-17,59434,R0,54,46,0.26894682826509503,0.9351201836199106,4.126838166033849
13,shock,2024-10-20,2025-01-17,59434,R1,54,42,0.2788130486814287,0.9133708687001273,4.813863750023302
13,shock,2024-10-20,2025-01-17,59434,R1,54,43,0.28342586096287303,0.9546437495124046,4.253498375008348
13,shock,2024-10-20,2025-01-17,59434,R1,54,44,0.2746098853755076,0.9035826797373252,4.196839459007606
13,shock,2024-10-20,2025-01-17,59434,R1,54,45,0.2802477806492993,0.9482857575692059,3.944155542005319
13,shock,2024-10-20,2025-01-17,59434,R1,54,46,0.2777848320921369,0.9330670980604479,4.303665082959924
13,shock,2024-10-20,2025-01-17,59434,R2,55,42,0.27016879823644524,0.9560021369078425,4.557136334013194
13,shock,2024-10-20,2025-01-17,59434,R2,55,43,0.2742150754481029,0.960093674340861,4.003729999996722
13,shock,2024-10-20,2025-01-17,59434,R2,55,44,0.2689948057748194,0.9356731138046415,4.361745417001657
13,shock,2024-10-20,2025-01-17,59434,R2,55,45,0.27416463561872734,0.9453714938269318,4.128574292000849
13,shock,2024-10-20,2025-01-17,59434,R2,55,46,0.26894682826509503,0.9351201836199106,4.118314166960772
14,normal,2025-01-18,2025-04-17,57318,R0,54,42,0.3546050862779327,1.1887461341604522,4.584122625004966
14,normal,2025-01-18,2025-04-17,57318,R0,54,43,0.3504543591262274,1.1587464173417872,4.050833916000556
14,normal,2025-01-18,2025-04-17,57318,R0,54,44,0.35324064949840706,1.1555623531887387,4.323567124956753
14,normal,2025-01-18,2025-04-17,57318,R0,54,45,0.3530901764167161,1.1644994972143141,4.273717666976154
14,normal,2025-01-18,2025-04-17,57318,R0,54,46,0.35773056072585185,1.2003471333297102,4.341858041996602
14,normal,2025-01-18,2025-04-17,57318,R1,54,42,0.3547345651467571,1.1730987993178683,4.158480958023574
14,normal,2025-01-18,2025-04-17,57318,R1,54,43,0.35321673998985886,1.166946526788792,4.1620042500435375
14,normal,2025-01-18,2025-04-17,57318,R1,54,44,0.35453803030280506,1.1815520846874081,4.392941874975804
14,normal,2025-01-18,2025-04-17,57318,R1,54,45,0.35782977985504,1.200138743862073,4.3271476670051925
14,normal,2025-01-18,2025-04-17,57318,R1,54,46,0.3588135740018923,1.1904037210180747,4.389440125029068
14,normal,2025-01-18,2025-04-17,57318,R2,55,42,0.3546050862779327,1.1887461341604522,4.555058915982954
14,normal,2025-01-18,2025-04-17,57318,R2,55,43,0.3504543591262274,1.1587464173417872,4.4804389589698985
14,normal,2025-01-18,2025-04-17,57318,R2,55,44,0.35324064949840706,1.1555623531887387,4.372416499943938
14,normal,2025-01-18,2025-04-17,57318,R2,55,45,0.3530901764167161,1.1644994972143141,4.534870208008215
14,normal,2025-01-18,2025-04-17,57318,R2,55,46,0.35773056072585185,1.2003471333297102,4.3629276669817045
