fold,feat_a,feat_b,shap_corr,note
8,network_disc_gap,lga_phase_std_delta_3d,-0.05211804512536578,
8,network_disc_gap_delta_3d,lga_phase_std,-0.03969605884434875,
8,network_disc_gap_delta_3d,lga_phase_std_delta_3d,0.17875132157144463,
8,lga_phase_std,lga_phase_std_delta_3d,0.37047333530205784,
9,network_px_std,network_px_std_delta_3d,0.30861732244956686,
9,network_px_std,network_disc_gap,0.001251933286764043,
9,network_px_std,network_disc_gap_delta_3d,0.11366250430577127,
9,network_px_std,lga_phase_std,0.3541992055650058,
9,network_px_std,lga_phase_std_delta_3d,0.2881437637249535,
9,network_px_std_delta_3d,network_disc_gap,0.41327499856281813,
9,network_px_std_delta_3d,network_disc_gap_delta_3d,0.34687451772000516,
9,network_px_std_delta_3d,lga_phase_std,0.6467893340067937,
9,network_px_std_delta_3d,lga_phase_std_delta_3d,0.24111394656275323,
9,network_disc_gap,network_disc_gap_delta_3d,0.06802640242310594,
9,network_disc_gap,lga_phase_std,0.395005870071867,
9,network_disc_gap,lga_phase_std_delta_3d,0.32260805612102006,
9,network_disc_gap_delta_3d,lga_phase_std,0.2680592720922406,
9,network_disc_gap_delta_3d,lga_phase_std_delta_3d,0.030137266020853332,
9,lga_phase_std,lga_phase_std_delta_3d,0.34668549387131065,
10,network_px_std,network_px_std_delta_3d,0.32468801846269724,
10,network_px_std,network_disc_gap,0.02788213953615059,
10,network_px_std,network_disc_gap_delta_3d,0.17572691044036914,
10,network_px_std,lga_phase_std,0.0008778161499229917,
10,network_px_std,lga_phase_std_delta_3d,0.10753122439923976,
10,network_px_std_delta_3d,network_disc_gap,0.2768858831209142,
10,network_px_std_delta_3d,network_disc_gap_delta_3d,0.40539200654890284,
10,network_px_std_delta_3d,lga_phase_std,0.36429552538625787,
10,network_px_std_delta_3d,lga_phase_std_delta_3d,0.3125185467609663,
10,network_disc_gap,network_disc_gap_delta_3d,0.3586309382792271,
10,network_disc_gap,lga_phase_std,0.48514371973122944,
10,network_disc_gap,lga_phase_std_delta_3d,0.24351162766855955,
10,network_disc_gap_delta_3d,lga_phase_std,0.313196686322207,
