fold,regime,val_start,val_end,val_rows,n_lated,run,n_features,seed,ll_all,ll_hard25,ll_hard10,ll_lated,fit_s
7,normal,2023-04-29,2023-07-27,57651,12504,R1_ABC,56,43,0.27356847901939,0.8712309440103684,1.2663154525161873,0.5701274464936048,3.4442715000004682
7,normal,2023-04-29,2023-07-27,57651,12504,R1_ABC,56,44,0.27723917702377227,0.9004394268038612,1.354824745228013,0.5856442070459025,3.481880082999851
7,normal,2023-04-29,2023-07-27,57651,12504,R1_ABC,56,45,0.26582210998935885,0.8657743249833165,1.3430754324350622,0.5425185168109024,3.1751384169983794
7,normal,2023-04-29,2023-07-27,57651,12504,R1_ABC,56,46,0.28346464222563994,0.9119163560915089,1.3507182364371932,0.5943240255012725,3.1312857090015314
7,normal,2023-04-29,2023-07-27,57651,12504,R2_drop_A,54,42,0.25104494657468124,0.8036340236598797,1.2161231685465819,0.5057496390620158,3.054234916999121
7,normal,2023-04-29,2023-07-27,57651,12504,R2_drop_A,54,43,0.2598187817373822,0.8092658868918212,1.2119738014648158,0.5169004050084897,3.1100561669991293
7,normal,2023-04-29,2023-07-27,57651,12504,R2_drop_A,54,44,0.25639122525234787,0.8236866930176585,1.269313011687774,0.5126189492016886,3.1263663329991687
7,normal,2023-04-29,2023-07-27,57651,12504,R2_drop_A,54,45,0.25612894232151406,0.8059013098572361,1.2015465253073407,0.5161818467319121,3.334082582998235
7,normal,2023-04-29,2023-07-27,57651,12504,R2_drop_A,54,46,0.2555975063274222,0.8163005548630579,1.239728437915045,0.5112295124042787,3.173247833001369
7,normal,2023-04-29,2023-07-27,57651,12504,R3_drop_B,54,42,0.2937160524085207,0.9576866237969468,1.4440738970051898,0.626640317574801,3.0398432910005795
7,normal,2023-04-29,2023-07-27,57651,12504,R3_drop_B,54,43,0.2718145651818447,0.88004558481278,1.353380051232078,0.5609653583358444,3.0415967919980176
7,normal,2023-04-29,2023-07-27,57651,12504,R3_drop_B,54,44,0.2731853553076754,0.875092527706715,1.3385034692812758,0.5619281801124203,3.0450792080009705
7,normal,2023-04-29,2023-07-27,57651,12504,R3_drop_B,54,45,0.2699646866344178,0.8753441357148727,1.375262522813136,0.5469508333904943,3.2955481249991863
7,normal,2023-04-29,2023-07-27,57651,12504,R3_drop_B,54,46,0.27597703598337603,0.8913785967881042,1.3535828459386325,0.572204275472603,3.2291984589974163
7,normal,2023-04-29,2023-07-27,57651,12504,R4_drop_C,54,42,0.2818451354675615,0.9223320110180863,1.3879351702799416,0.5972786931127618,3.2340723750021425
7,normal,2023-04-29,2023-07-27,57651,12504,R4_drop_C,54,43,0.2786572851038828,0.8935967985070699,1.3110565477492027,0.5858528301250185,3.1827447499999835
7,normal,2023-04-29,2023-07-27,57651,12504,R4_drop_C,54,44,0.2774627203988452,0.9227710163451731,1.4331708731333574,0.5818155373106048,3.07914191600139
7,normal,2023-04-29,2023-07-27,57651,12504,R4_drop_C,54,45,0.2746246139061403,0.887109890353392,1.3375207184506201,0.5819366020779702,3.149977791999845
7,normal,2023-04-29,2023-07-27,57651,12504,R4_drop_C,54,46,0.2730393600586465,0.8662719140615888,1.2992665974911979,0.5609151364396842,3.0878850829976727
7,normal,2023-04-29,2023-07-27,57651,12504,R5_A_only,52,42,0.2808050746447736,0.9066814598266689,1.3890672095034888,0.5863162156286834,3.017881457999465
7,normal,2023-04-29,2023-07-27,57651,12504,R5_A_only,52,43,0.27875314457398337,0.9151392757759435,1.4275730842918655,0.5888415681494186,3.015157084002567
7,normal,2023-04-29,2023-07-27,57651,12504,R5_A_only,52,44,0.27859943756296013,0.9008411085385523,1.3797930737492985,0.572411737815364,3.1637936669976625
7,normal,2023-04-29,2023-07-27,57651,12504,R5_A_only,52,45,0.27451638354394237,0.8975472145475576,1.3962216735426287,0.5678846820086197,3.0878352920008183
7,normal,2023-04-29,2023-07-27,57651,12504,R5_A_only,52,46,0.2784619182894739,0.9084512322420897,1.4352398834114157,0.5796562137312917,3.0788212080005906
7,normal,2023-04-29,2023-07-27,57651,12504,R6_B_only,52,42,0.26161889493360424,0.8434122542088346,1.277756363126851,0.5383454771163215,3.1283585830024094
7,normal,2023-04-29,2023-07-27,57651,12504,R6_B_only,52,43,0.2590513177021262,0.8008290122547488,1.1934430799851914,0.5171748624711348,2.996034416999464
7,normal,2023-04-29,2023-07-27,57651,12504,R6_B_only,52,44,0.2564696773430717,0.7993283338382767,1.2136976725673359,0.5198603450516353,3.076942749998125
7,normal,2023-04-29,2023-07-27,57651,12504,R6_B_only,52,45,0.2554213075385907,0.8099784081558731,1.2260746376548248,0.5144493993641117,3.0005152500016266
7,normal,2023-04-29,2023-07-27,57651,12504,R6_B_only,52,46,0.2598363630384956,0.8204057143598653,1.2634306565091402,0.5234529708510492,3.148268291999557
7,normal,2023-04-29,2023-07-27,57651,12504,R7_C_only,52,42,0.25027479967492716,0.8054179664204663,1.2946311376083783,0.4935013697442478,3.191945292001037
7,normal,2023-04-29,2023-07-27,57651,12504,R7_C_only,52,43,0.25998672303520204,0.8523186877084061,1.3563550094601158,0.5089314795962977,2.9924861250001413
7,normal,2023-04-29,2023-07-27,57651,12504,R7_C_only,52,44,0.25172716486963814,0.7918648959097405,1.2292589837801096,0.4905156802831086,3.031562916999974
7,normal,2023-04-29,2023-07-27,57651,12504,R7_C_only,52,45,0.25647353815065055,0.8060464261530511,1.243273152843732,0.5064932564305378,3.009579500001564
7,normal,2023-04-29,2023-07-27,57651,12504,R7_C_only,52,46,0.25480320659393624,0.8121925092776427,1.280929517183474,0.506031345360745,3.059758415998658
8,normal,2023-07-28,2023-10-25,59700,6761,R0_baseline,50,42,0.30626274795519226,1.2052034578480253,2.852859671574775,1.4451735032577069,3.1530688330021803
8,normal,2023-07-28,2023-10-25,59700,6761,R0_baseline,50,43,0.3001894848326636,1.180827809494405,2.8012763482784915,1.4106375415341408,3.0041334590023325
8,normal,2023-07-28,2023-10-25,59700,6761,R0_baseline,50,44,0.29330604614477385,1.1511495211754361,2.702004275330396,1.3844228238555076,3.0122332500031916
8,normal,2023-07-28,2023-10-25,59700,6761,R0_baseline,50,45,0.3198672325528107,1.2596543039844041,2.982023115347601,1.5115134877698655,2.9748820419990807
8,normal,2023-07-28,2023-10-25,59700,6761,R0_baseline,50,46,0.29215014721869986,1.147935509658442,2.700078153285244,1.3716753083128657,3.116027791998931
8,normal,2023-07-28,2023-10-25,59700,6761,R1_ABC,56,42,0.2657364820843433,1.0379388919573171,2.409458076067956,1.2015142973229174,3.730527040999732
8,normal,2023-07-28,2023-10-25,59700,6761,R1_ABC,56,43,0.26603063825991696,1.037027765582394,2.421563166532505,1.2166335781519375,3.7342554589995416
8,normal,2023-07-28,2023-10-25,59700,6761,R1_ABC,56,44,0.25779544565515067,1.0054278308160831,2.3463890014296127,1.196356304356159,3.5777819579998322
8,normal,2023-07-28,2023-10-25,59700,6761,R1_ABC,56,45,0.26845060450834374,1.0449724199307235,2.432020154176037,1.238355550749822,3.3279529589999584
8,normal,2023-07-28,2023-10-25,59700,6761,R1_ABC,56,46,0.283806275117363,1.1128842370980987,2.588524351380695,1.3087925787443035,3.3408221659992705
8,normal,2023-07-28,2023-10-25,59700,6761,R2_drop_A,54,42,0.29348509098127695,1.1511695374172028,2.6819672030631025,1.335971589119988,3.3788472909982374
8,normal,2023-07-28,2023-10-25,59700,6761,R2_drop_A,54,43,0.3065282932434049,1.2020431389452688,2.821444141610874,1.438089594404117,3.2385157079988858
8,normal,2023-07-28,2023-10-25,59700,6761,R2_drop_A,54,44,0.3086513509878479,1.2141026496677771,2.857027775451637,1.4631405496122076,3.264824584002781
8,normal,2023-07-28,2023-10-25,59700,6761,R2_drop_A,54,45,0.3085001155109168,1.209843694793572,2.843113767012717,1.4555088464610766,3.248609165999369
8,normal,2023-07-28,2023-10-25,59700,6761,R2_drop_A,54,46,0.296797166306127,1.1632688875020922,2.7175519633965677,1.3753773626427335,3.297625415998482
8,normal,2023-07-28,2023-10-25,59700,6761,R3_drop_B,54,42,0.27207061840357794,1.0628386506682055,2.4717284037290486,1.2428035025707485,3.2675919169996632
8,normal,2023-07-28,2023-10-25,59700,6761,R3_drop_B,54,43,0.25367426083021083,0.9878255793914712,2.296270078065957,1.1543832898274982,3.226635290997365
8,normal,2023-07-28,2023-10-25,59700,6761,R3_drop_B,54,44,0.2512422536352789,0.9765407198660606,2.258579684959071,1.137790978624375,3.2629724580001493
8,normal,2023-07-28,2023-10-25,59700,6761,R3_drop_B,54,45,0.2735980207235242,1.0698969627318333,2.49585304871301,1.2701407347323106,3.282479792000231
8,normal,2023-07-28,2023-10-25,59700,6761,R3_drop_B,54,46,0.2551955625149377,0.9968991565041831,2.335827003672616,1.181835615575208,3.461155916997086
8,normal,2023-07-28,2023-10-25,59700,6761,R4_drop_C,54,42,0.2768000923801445,1.082993871589527,2.5303187442984783,1.277869868108065,3.4667607090013917
8,normal,2023-07-28,2023-10-25,59700,6761,R4_drop_C,54,43,0.2718984077992777,1.0636748523486188,2.4854770200516834,1.2560610660578735,3.583774957998685
8,normal,2023-07-28,2023-10-25,59700,6761,R4_drop_C,54,44,0.316418003704095,1.2433267317002346,2.937282689421048,1.5203049930714043,3.4856247090028774
8,normal,2023-07-28,2023-10-25,59700,6761,R4_drop_C,54,45,0.2989355260140555,1.173466682367299,2.7531603828079776,1.3951615831966173,3.3251955840023584
8,normal,2023-07-28,2023-10-25,59700,6761,R4_drop_C,54,46,0.3013691199399064,1.1843797121575035,2.7938850922638703,1.435227016232959,3.3565048329983256
8,normal,2023-07-28,2023-10-25,59700,6761,R5_A_only,52,42,0.2881379204837098,1.1293087493960818,2.643474617904849,1.338366582682112,3.2534324580010434
8,normal,2023-07-28,2023-10-25,59700,6761,R5_A_only,52,43,0.2760214580927678,1.083219025747373,2.556560952746047,1.2884052370773174,3.3101876250002533
8,normal,2023-07-28,2023-10-25,59700,6761,R5_A_only,52,44,0.27643272280934067,1.0810126868440242,2.5380136901922037,1.3063953175566405,3.311471958997572
8,normal,2023-07-28,2023-10-25,59700,6761,R5_A_only,52,45,0.28099607906717744,1.101188892225133,2.5988481570884208,1.3265135643148993,3.355728750000708
