fold,regime,run,ll_all,ll_hard25,ll_hard10,ll_lated,ll_all_std,ll_hard25_std,ll_all_base,ll_hard25_base,ll_hard10_base,ll_lated_base,delta_all,delta_hard25,delta_hard10,delta_lated
9,shock,R6_B_only,0.36681286534700097,1.2303318082017571,2.044145225273981,0.556921555098794,0.008531847862387858,0.029265040178501213,0.34049446545187345,1.1492202297573926,1.9222967045945587,0.48797595031442953,0.02631839989512752,0.08111157844436456,0.12184852067942242,0.06894560478436451
9,shock,R7_C_only,0.3517674523111218,1.1709156134975593,1.9372627048436886,0.5073176681715582,0.009882961644407199,0.03743583131042038,0.34049446545187345,1.1492202297573926,1.9222967045945587,0.48797595031442953,0.011272986859248324,0.021695383740166774,0.014966000249129863,0.019341717857128682
10,normal,R0_baseline,0.2539857458043485,0.9506631991845893,1.771569102336403,0.22245407373705617,0.003968134988200891,0.013873682914664372,0.2539857458043485,0.9506631991845893,1.771569102336403,0.22245407373705617,0.0,0.0,0.0,0.0
10,normal,R1_ABC,0.2525409909983951,0.9451006469935279,1.742223142073738,0.23292029731453057,0.0028061628471803693,0.00924597756046157,0.2539857458043485,0.9506631991845893,1.771569102336403,0.22245407373705617,-0.0014447548059534077,-0.005562552191061387,-0.029345960262665116,0.010466223577474398
10,normal,R2_drop_A,0.2532072931064569,0.9489733842982077,1.7631815931942456,0.22693201300570892,0.0023227614892678866,0.010596222795378177,0.2539857458043485,0.9506631991845893,1.771569102336403,0.22245407373705617,-0.0007784526978916184,-0.0016898148863816465,-0.008387509142157468,0.004477939268652753
10,normal,R3_drop_B,0.25290947998854346,0.9355215576602248,1.6775071383700264,0.21963136806287178,0.0037821217672185624,0.015710173637825352,0.2539857458043485,0.9506631991845893,1.771569102336403,0.22245407373705617,-0.0010762658158050553,-0.01514164152436448,-0.09406196396637667,-0.0028227056741843837
10,normal,R4_drop_C,0.2537401389824733,0.9481730452798607,1.7526378318906566,0.2358449179071141,0.001025511530339505,0.008019467320391506,0.2539857458043485,0.9506631991845893,1.771569102336403,0.22245407373705617,-0.00024560682187524385,-0.0024901539047286203,-0.018931270445746495,0.013390844170057925
10,normal,R5_A_only,0.25575416658270955,0.9470754596370133,1.7081704185623974,0.21320514336289528,0.0042545268010151715,0.023597870337167398,0.2539857458043485,0.9506631991845893,1.771569102336403,0.22245407373705617,0.001768420778361035,-0.0035877395475759633,-0.0633986837740057,-0.009248930374160885
10,normal,R6_B_only,0.25751964914871517,0.9703861917851423,1.8360811059149948,0.23642325795249136,0.00280690690057338,0.016673588699646323,0.2539857458043485,0.9506631991845893,1.771569102336403,0.22245407373705617,0.003533903344366651,0.01972299260055299,0.06451200357859177,0.013969184215435193
10,normal,R7_C_only,0.25160072203820155,0.9433162865823362,1.7608563860440811,0.21713029727590044,0.0039651758873065195,0.019495369912287626,0.2539857458043485,0.9506631991845893,1.771569102336403,0.22245407373705617,-0.0023850237661469653,-0.007346912602253064,-0.010712716292321955,-0.005323776461155727
11,normal,R0_baseline,0.34310043604938856,1.126587142380624,1.7611660944243508,0.7643895556176112,0.014541180073118743,0.06504986428492165,0.34310043604938856,1.126587142380624,1.7611660944243508,0.7643895556176112,0.0,0.0,0.0,0.0
11,normal,R1_ABC,0.33709322492884314,1.1022492392528078,1.737099324800549,0.7781040974485881,0.01022555086120017,0.049317684015670736,0.34310043604938856,1.126587142380624,1.7611660944243508,0.7643895556176112,-0.006007211120545419,-0.02433790312781614,-0.02406676962380172,0.013714541830976867
11,normal,R2_drop_A,0.35191268741950554,1.1442624052992616,1.7731951726090007,0.7932467708603048,0.008658881158912697,0.02947663736989159,0.34310043604938856,1.126587142380624,1.7611660944243508,0.7643895556176112,0.008812251370116986,0.017675262918637635,0.012029078184649933,0.02885721524269358
11,normal,R3_drop_B,0.3528256804158785,1.0879745933032443,1.695969480045865,0.769022949956574,0.03913084719036046,0.06201091422351432,0.34310043604938856,1.126587142380624,1.7611660944243508,0.7643895556176112,0.009725244366489916,-0.038612549077379654,-0.0651966143784859,0.004633394338962815
11,normal,R4_drop_C,0.34436597993497964,1.1023078716870678,1.7363906010731178,0.7683224045619618,0.014043577194002314,0.047936470929803396,0.34310043604938856,1.126587142380624,1.7611660944243508,0.7643895556176112,0.0012655438855910806,-0.024279270693556176,-0.02477549335123297,0.003932848944350531
11,normal,R5_A_only,0.338977849707445,1.1085932843045978,1.743494012625081,0.7870892399300435,0.008357190829640291,0.031261946461307207,0.34310043604938856,1.126587142380624,1.7611660944243508,0.7643895556176112,-0.004122586341943568,-0.01799385807602616,-0.017672081799269712,0.0226996843124323
