fold,regime,val_start,val_end,val_rows,run,seed,ll_all,ll_hard25,hard25_thresh,hard10_thresh,fit_s
6,normal,2023-01-29,2023-04-28,57361,R0_baseline,46,0.21823133672524786,0.7782517485274747,0.22358312033861433,0.6773830244461138,2.537480874991161
6,normal,2023-01-29,2023-04-28,57361,R5_A_only,42,0.21441833441892968,0.7486889753995773,0.22358312033861433,0.6773830244461138,2.663064624997787
6,normal,2023-01-29,2023-04-28,57361,R5_A_only,43,0.2192744244616781,0.7614085527517779,0.22358312033861433,0.6773830244461138,2.6497607920027804
6,normal,2023-01-29,2023-04-28,57361,R5_A_only,44,0.22110369951241352,0.7746860509295129,0.22358312033861433,0.6773830244461138,2.6854530420096125
6,normal,2023-01-29,2023-04-28,57361,R5_A_only,45,0.2144867362771924,0.7596552012729424,0.22358312033861433,0.6773830244461138,2.656634667000617
6,normal,2023-01-29,2023-04-28,57361,R5_A_only,46,0.240343910621693,0.7492426010476562,0.22358312033861433,0.6773830244461138,2.684037333005108
7,normal,2023-04-29,2023-07-27,57651,R0_baseline,42,0.2511904800024137,0.8269285741934875,0.2831383617280425,0.766528118231732,2.7215703330002725
7,normal,2023-04-29,2023-07-27,57651,R0_baseline,43,0.252871999704987,0.8061351668386052,0.2831383617280425,0.766528118231732,2.7297754169994732
7,normal,2023-04-29,2023-07-27,57651,R0_baseline,44,0.2685863638577919,0.8790184169738892,0.2831383617280425,0.766528118231732,2.6737021250010002
7,normal,2023-04-29,2023-07-27,57651,R0_baseline,45,0.25757415603004474,0.8166556604469495,0.2831383617280425,0.766528118231732,2.643376834006631
7,normal,2023-04-29,2023-07-27,57651,R0_baseline,46,0.30060103609454913,0.8147620124492151,0.2831383617280425,0.766528118231732,2.6666822499973932
7,normal,2023-04-29,2023-07-27,57651,R5_A_only,42,0.2808050746447736,0.9066814598266689,0.2831383617280425,0.766528118231732,2.8529665829992155
7,normal,2023-04-29,2023-07-27,57651,R5_A_only,43,0.27875314457398337,0.9151392757759435,0.2831383617280425,0.766528118231732,2.7731549159943825
7,normal,2023-04-29,2023-07-27,57651,R5_A_only,44,0.27859943756296013,0.9008411085385523,0.2831383617280425,0.766528118231732,3.1465477500023553
7,normal,2023-04-29,2023-07-27,57651,R5_A_only,45,0.27451638354394237,0.8975472145475576,0.2831383617280425,0.766528118231732,2.8678521670080954
7,normal,2023-04-29,2023-07-27,57651,R5_A_only,46,0.2784619182894739,0.9084512322420897,0.2831383617280425,0.766528118231732,2.801357459000428
8,normal,2023-07-28,2023-10-25,59700,R0_baseline,42,0.30626274795519226,1.2052034578480253,0.03421154861870354,0.5121569053452675,2.935345750011038
8,normal,2023-07-28,2023-10-25,59700,R0_baseline,43,0.3001894848326636,1.180827809494405,0.03421154861870354,0.5121569053452675,2.9067573329957668
8,normal,2023-07-28,2023-10-25,59700,R0_baseline,44,0.29330604614477385,1.1511495211754361,0.03421154861870354,0.5121569053452675,2.864420166995842
8,normal,2023-07-28,2023-10-25,59700,R0_baseline,45,0.3198672325528107,1.2596543039844041,0.03421154861870354,0.5121569053452675,2.8096238340076525
8,normal,2023-07-28,2023-10-25,59700,R0_baseline,46,0.29215014721869986,1.147935509658442,0.03421154861870354,0.5121569053452675,2.9694992919976357
8,normal,2023-07-28,2023-10-25,59700,R5_A_only,42,0.2881379204837098,1.1293087493960818,0.03421154861870354,0.5121569053452675,3.2554276250011753
8,normal,2023-07-28,2023-10-25,59700,R5_A_only,43,0.2760214580927678,1.083219025747373,0.03421154861870354,0.5121569053452675,2.970768625003984
8,normal,2023-07-28,2023-10-25,59700,R5_A_only,44,0.27643272280934067,1.0810126868440242,0.03421154861870354,0.5121569053452675,2.9642720830015605
8,normal,2023-07-28,2023-10-25,59700,R5_A_only,45,0.28099607906717744,1.101188892225133,0.03421154861870354,0.5121569053452675,2.90727529200376
8,normal,2023-07-28,2023-10-25,59700,R5_A_only,46,0.28948372753035295,1.134693561867253,0.03421154861870354,0.5121569053452675,2.896364332991652
9,shock,2023-10-26,2024-01-23,60022,R0_baseline,42,0.33051669406832346,1.1195009241134053,0.3728598953959593,0.9565103211291566,3.41605741600506
9,shock,2023-10-26,2024-01-23,60022,R0_baseline,43,0.35383383679477515,1.1913959374399297,0.3728598953959593,0.9565103211291566,3.050082959001884
9,shock,2023-10-26,2024-01-23,60022,R0_baseline,44,0.33777729914109494,1.1338326047672935,0.3728598953959593,0.9565103211291566,3.1740756660001352
9,shock,2023-10-26,2024-01-23,60022,R0_baseline,45,0.3401116261609269,1.1526623058948682,0.3728598953959593,0.9565103211291566,3.058207833993947
9,shock,2023-10-26,2024-01-23,60022,R0_baseline,46,0.34023287109424694,1.1487093765714658,0.3728598953959593,0.9565103211291566,3.2075461670028744
9,shock,2023-10-26,2024-01-23,60022,R5_A_only,42,0.34621205503485686,1.156870019345652,0.3728598953959593,0.9565103211291566,3.1554629579914035
9,shock,2023-10-26,2024-01-23,60022,R5_A_only,43,0.34333824108310984,1.1503264869574994,0.3728598953959593,0.9565103211291566,3.2611305830068886
9,shock,2023-10-26,2024-01-23,60022,R5_A_only,44,0.36265981749601517,1.2145543516317727,0.3728598953959593,0.9565103211291566,3.120263791002799
9,shock,2023-10-26,2024-01-23,60022,R5_A_only,45,0.34592900413918626,1.1628226217903277,0.3728598953959593,0.9565103211291566,3.0688732910057297
9,shock,2023-10-26,2024-01-23,60022,R5_A_only,46,0.3556562760506568,1.1702545873784322,0.3728598953959593,0.9565103211291566,3.154857792003895
10,normal,2024-01-24,2024-04-22,58953,R0_baseline,42,0.2542584492543355,0.9561237452365633,0.15357036747794003,0.8503865656169897,3.170418207999319
10,normal,2024-01-24,2024-04-22,58953,R0_baseline,43,0.25931756737944106,0.9687535291029328,0.15357036747794003,0.8503865656169897,3.2815051670040702
10,normal,2024-01-24,2024-04-22,58953,R0_baseline,44,0.25445247367978846,0.9524755204382074,0.15357036747794003,0.8503865656169897,3.080910500008031
10,normal,2024-01-24,2024-04-22,58953,R0_baseline,45,0.2537638181525866,0.9446113937703733,0.15357036747794003,0.8503865656169897,3.102812958008144
10,normal,2024-01-24,2024-04-22,58953,R0_baseline,46,0.24813642055559115,0.9313518073748696,0.15357036747794003,0.8503865656169897,3.102338917000452
10,normal,2024-01-24,2024-04-22,58953,R5_A_only,42,0.2581130223593324,0.9650869217131618,0.15357036747794003,0.8503865656169897,3.2967762500047684
10,normal,2024-01-24,2024-04-22,58953,R5_A_only,43,0.25559856237192274,0.9166850012514877,0.15357036747794003,0.8503865656169897,3.208900083001936
10,normal,2024-01-24,2024-04-22,58953,R5_A_only,44,0.2505700514040682,0.9340486676959943,0.15357036747794003,0.8503865656169897,3.2275674999982584
10,normal,2024-01-24,2024-04-22,58953,R5_A_only,45,0.2530316566714753,0.9441735329652656,0.15357036747794003,0.8503865656169897,3.110085666005034
10,normal,2024-01-24,2024-04-22,58953,R5_A_only,46,0.2614575401067491,0.975383174559157,0.15357036747794003,0.8503865656169897,3.1470472920045722
11,normal,2024-04-23,2024-07-21,59790,R0_baseline,42,0.3441310448127469,1.1502289805741117,0.36398211791145524,1.172543405029079,3.3221853339928202
11,normal,2024-04-23,2024-07-21,59790,R0_baseline,43,0.34641903715371325,1.1355249667831602,0.36398211791145524,1.172543405029079,3.1963852920016507
11,normal,2024-04-23,2024-07-21,59790,R0_baseline,44,0.3540123933559259,1.1753758904961362,0.36398211791145524,1.172543405029079,3.122923749993788
11,normal,2024-04-23,2024-07-21,59790,R0_baseline,45,0.3181755473310613,1.0131143146921389,0.36398211791145524,1.172543405029079,3.205291040998418
11,normal,2024-04-23,2024-07-21,59790,R0_baseline,46,0.35276415759349544,1.1586915593575722,0.36398211791145524,1.172543405029079,3.1927536250004778
11,normal,2024-04-23,2024-07-21,59790,R5_A_only,42,0.3419248467071772,1.1244707779750776,0.36398211791145524,1.172543405029079,3.3846779159939615
11,normal,2024-04-23,2024-07-21,59790,R5_A_only,43,0.33980138003430155,1.1185593577338606,0.36398211791145524,1.172543405029079,3.6760762080084532
11,normal,2024-04-23,2024-07-21,59790,R5_A_only,44,0.35019458780039375,1.1452874596269025,0.36398211791145524,1.172543405029079,3.2659047920024022
11,normal,2024-04-23,2024-07-21,59790,R5_A_only,45,0.32749151835435425,1.0660135191161348,0.36398211791145524,1.172543405029079,3.2262678750121268
11,normal,2024-04-23,2024-07-21,59790,R5_A_only,46,0.33547691564099813,1.088635307071013,0.36398211791145524,1.172543405029079,3.2340625840006396
12,normal,2024-07-22,2024-10-19,60944,R0_baseline,42,0.30485216555616207,1.020026356851458,0.3073163253671626,0.9826676745890233,3.3201538329885807
12,normal,2024-07-22,2024-10-19,60944,R0_baseline,43,0.31360184549770287,1.0724088663755555,0.3073163253671626,0.9826676745890233,3.3303710839973064
12,normal,2024-07-22,2024-10-19,60944,R0_baseline,44,0.3093916730991337,1.0298855036869776,0.3073163253671626,0.9826676745890233,3.3872777910000877
12,normal,2024-07-22,2024-10-19,60944,R0_baseline,45,0.30611377972578285,1.0338335952193694,0.3073163253671626,0.9826676745890233,3.2449535420018947
12,normal,2024-07-22,2024-10-19,60944,R0_baseline,46,0.3117475153424587,1.0630170831347023,0.3073163253671626,0.9826676745890233,3.302629875004641
12,normal,2024-07-22,2024-10-19,60944,R5_A_only,42,0.3124192208346189,1.0555030871767646,0.3073163253671626,0.9826676745890233,3.549279332990409
12,normal,2024-07-22,2024-10-19,60944,R5_A_only,43,0.31080528237089516,1.0425286471999555,0.3073163253671626,0.9826676745890233,3.5855334579973714
12,normal,2024-07-22,2024-10-19,60944,R5_A_only,44,0.3058111983291229,1.0097730418380118,0.3073163253671626,0.9826676745890233,3.399661040995852
12,normal,2024-07-22,2024-10-19,60944,R5_A_only,45,0.322707528703293,1.0841138387832308,0.3073163253671626,0.9826676745890233,3.4107586249883752
12,normal,2024-07-22,2024-10-19,60944,R5_A_only,46,0.3124341511693613,1.043314780620442,0.3073163253671626,0.9826676745890233,3.3637343750015134
13,shock,2024-10-20,2025-01-17,59434,R0_baseline,42,0.3000811243941768,1.0355079904505768,0.2927207398473708,0.922108847540621,3.4893169999995735
13,shock,2024-10-20,2025-01-17,59434,R0_baseline,43,0.2854163964579,0.9521867510504818,0.2927207398473708,0.922108847540621,3.4103808750078315
13,shock,2024-10-20,2025-01-17,59434,R0_baseline,44,0.28749361726138484,0.9763031522677111,0.2927207398473708,0.922108847540621,3.413255958002992
13,shock,2024-10-20,2025-01-17,59434,R0_baseline,45,0.3077325051455423,1.0140723024171656,0.2927207398473708,0.922108847540621,3.5068167919962434
13,shock,2024-10-20,2025-01-17,59434,R0_baseline,46,0.2882684932649149,0.9702402318275968,0.2927207398473708,0.922108847540621,3.4321055420004996
13,shock,2024-10-20,2025-01-17,59434,R5_A_only,42,0.290475094345097,0.9893030128936656,0.2927207398473708,0.922108847540621,3.9317908750090282
13,shock,2024-10-20,2025-01-17,59434,R5_A_only,43,0.2892995145440452,0.9758484257097594,0.2927207398473708,0.922108847540621,3.6057750420004595
13,shock,2024-10-20,2025-01-17,59434,R5_A_only,44,0.3016007135915524,1.0069766424161901,0.2927207398473708,0.922108847540621,3.6174157909990754
13,shock,2024-10-20,2025-01-17,59434,R5_A_only,45,0.2980771418798809,1.0186868809401715,0.2927207398473708,0.922108847540621,3.5760102500062203
13,shock,2024-10-20,2025-01-17,59434,R5_A_only,46,0.28772650534006455,0.9798419376521761,0.2927207398473708,0.922108847540621,3.646687500004191
14,normal,2025-01-18,2025-04-17,57318,R0_baseline,42,0.36191118909925846,1.211992349555604,0.3993604297497749,1.2063413082190242,3.979879125006846
14,normal,2025-01-18,2025-04-17,57318,R0_baseline,43,0.35355136071122667,1.1655661097929737,0.3993604297497749,1.2063413082190242,3.6356970409979112
14,normal,2025-01-18,2025-04-17,57318,R0_baseline,44,0.3695365719611791,1.2411159513335412,0.3993604297497749,1.2063413082190242,3.733034958000644
14,normal,2025-01-18,2025-04-17,57318,R0_baseline,45,0.36174580900236736,1.195056342847016,0.3993604297497749,1.2063413082190242,3.8972240000002785
14,normal,2025-01-18,2025-04-17,57318,R0_baseline,46,0.3600447210185441,1.1894500092694533,0.3993604297497749,1.2063413082190242,3.8684933750046184
14,normal,2025-01-18,2025-04-17,57318,R5_A_only,42,0.36358138452200905,1.2143289803939086,0.3993604297497749,1.2063413082190242,4.051808000003803
14,normal,2025-01-18,2025-04-17,57318,R5_A_only,43,0.3649808181651369,1.2178531753437847,0.3993604297497749,1.2063413082190242,3.8723220829997445
14,normal,2025-01-18,2025-04-17,57318,R5_A_only,44,0.3565970040419928,1.1717806741517898,0.3993604297497749,1.2063413082190242,3.913737166993087
14,normal,2025-01-18,2025-04-17,57318,R5_A_only,45,0.36618900847855407,1.205846618936824,0.3993604297497749,1.2063413082190242,3.8987042079970706
14,normal,2025-01-18,2025-04-17,57318,R5_A_only,46,0.35323907022654977,1.17648625579792,0.3993604297497749,1.2063413082190242,3.9326707500003977
