station_code,name,address,suburb,postcode,brand,fuel_code,price,date
1983,Silvalite Fuel Stop,"210 Ashmont Avenue, Ashmont NSW 2650",Ashmont,2650,Liberty,E10,189.9,2026-05-06
1983,Silvalite Fuel Stop,"210 Ashmont Avenue, Ashmont NSW 2650",Ashmont,2650,Liberty,P98,204.9,2026-05-06
1983,Silvalite Fuel Stop,"210 Ashmont Avenue, Ashmont NSW 2650",Ashmont,2650,Liberty,U91,190.9,2026-05-06
1988,Enhance Homebush,"242 Parramatta Road, Homebush NSW 2140",Homebush,2140,Enhance,DL,245.8,2026-05-06
1988,Enhance Homebush,"242 Parramatta Road, Homebush NSW 2140",Homebush,2140,Enhance,E10,179.8,2026-05-06
1988,Enhance Homebush,"242 Parramatta Road, Homebush NSW 2140",Homebush,2140,Enhance,LPG,125.8,2026-05-06
1988,Enhance Homebush,"242 Parramatta Road, Homebush NSW 2140",Homebush,2140,Enhance,P98,204.8,2026-05-06
1988,Enhance Homebush,"242 Parramatta Road, Homebush NSW 2140",Homebush,2140,Enhance,U91,182.8,2026-05-06
1989,Speedway Rockdale,"651 Princes Highway, Rockdale NSW 2216",Rockdale,2216,Speedway,DL,243.9,2026-05-06
1989,Speedway Rockdale,"651 Princes Highway, Rockdale NSW 2216",Rockdale,2216,Speedway,E10,171.9,2026-05-06
1989,Speedway Rockdale,"651 Princes Highway, Rockdale NSW 2216",Rockdale,2216,Speedway,P98,197.9,2026-05-06
1989,Speedway Rockdale,"651 Princes Highway, Rockdale NSW 2216",Rockdale,2216,Speedway,PDL,246.9,2026-05-06
1989,Speedway Rockdale,"651 Princes Highway, Rockdale NSW 2216",Rockdale,2216,Speedway,U91,173.9,2026-05-06
1990,Independent Cargo,"1 Forbes Street, Cargo NSW 2800",Cargo,2800,Independent,DL,248.9,2026-05-06
1990,Independent Cargo,"1 Forbes Street, Cargo NSW 2800",Cargo,2800,Independent,U91,199.9,2026-05-06
1991,Caltex Khancoban,"1389 Alpine Way, Khancoban NSW 2642",Khancoban,2642,Caltex,DL,270.0,2026-05-06
1991,Caltex Khancoban,"1389 Alpine Way, Khancoban NSW 2642",Khancoban,2642,Caltex,P98,250.0,2026-05-06
1991,Caltex Khancoban,"1389 Alpine Way, Khancoban NSW 2642",Khancoban,2642,Caltex,U91,218.0,2026-05-06
1992,Red Spot Express Peak Hill,"123-125 Caswell Street, Peak Hill NSW 2869",Peak Hill,2869,Independent,DL,281.9,2026-05-06
1992,Red Spot Express Peak Hill,"123-125 Caswell Street, Peak Hill NSW 2869",Peak Hill,2869,Independent,P95,275.9,2026-05-06
1992,Red Spot Express Peak Hill,"123-125 Caswell Street, Peak Hill NSW 2869",Peak Hill,2869,Independent,U91,258.9,2026-05-06
1994,BP Mascot,"1077 Botany Road, Mascot NSW 2020",Mascot,2020,BP,P98,198.9,2026-05-06
1994,BP Mascot,"1077 Botany Road, Mascot NSW 2020",Mascot,2020,BP,PDL,233.9,2026-05-06
1994,BP Mascot,"1077 Botany Road, Mascot NSW 2020",Mascot,2020,BP,U91,175.9,2026-05-06
1998,Caltex Walcha,"108W Fitzroy St, Walcha NSW 2354",Walcha,2354,Caltex,DL,246.9,2026-05-06
1998,Caltex Walcha,"108W Fitzroy St, Walcha NSW 2354",Walcha,2354,Caltex,P95,226.9,2026-05-06
1998,Caltex Walcha,"108W Fitzroy St, Walcha NSW 2354",Walcha,2354,Caltex,U91,204.9,2026-05-06
1999,Lowes Mulwala,"55-57 Melbourne Stre, Mulwala NSW 2647",Mulwala,2647,Lowes,DL,259.9,2026-05-06
1999,Lowes Mulwala,"55-57 Melbourne Stre, Mulwala NSW 2647",Mulwala,2647,Lowes,P98,229.9,2026-05-06
1999,Lowes Mulwala,"55-57 Melbourne Stre, Mulwala NSW 2647",Mulwala,2647,Lowes,U91,199.9,2026-05-06
2001,Independent Turramurra,"105 Eastern Rd, Turramurra NSW 2074",Turramurra,2074,Independent,DL,249.6,2026-05-06
2001,Independent Turramurra,"105 Eastern Rd, Turramurra NSW 2074",Turramurra,2074,Independent,P98,202.5,2026-05-06
2001,Independent Turramurra,"105 Eastern Rd, Turramurra NSW 2074",Turramurra,2074,Independent,U91,178.7,2026-05-06
2005,Shell Ballina,"273 River Street, Ballina NSW 2478",Ballina,2478,Shell,DL,251.9,2026-05-06
2005,Shell Ballina,"273 River Street, Ballina NSW 2478",Ballina,2478,Shell,P95,199.9,2026-05-06
2005,Shell Ballina,"273 River Street, Ballina NSW 2478",Ballina,2478,Shell,P98,209.9,2026-05-06
2005,Shell Ballina,"273 River Street, Ballina NSW 2478",Ballina,2478,Shell,U91,185.9,2026-05-06
2006,Liberty Alstonville,"3 Bugden Avenue, Alstonville NSW 2477",Alstonville,2477,Liberty,DL,259.9,2026-05-06
2006,Liberty Alstonville,"3 Bugden Avenue, Alstonville NSW 2477",Alstonville,2477,Liberty,P95,206.9,2026-05-06
2006,Liberty Alstonville,"3 Bugden Avenue, Alstonville NSW 2477",Alstonville,2477,Liberty,U91,194.9,2026-05-06
2007,Shell South Lismore,"21 Elliott Road, South Lismore NSW 2480",South Lismore,2480,Shell,DL,249.9,2026-05-06
2007,Shell South Lismore,"21 Elliott Road, South Lismore NSW 2480",South Lismore,2480,Shell,P98,209.9,2026-05-06
2007,Shell South Lismore,"21 Elliott Road, South Lismore NSW 2480",South Lismore,2480,Shell,U91,189.9,2026-05-06
