fold,regime,run,ll_all_mean,ll_all_median,ll_all_seedstd,ll_hard25_mean,ll_hard25_median,ll_hard25_seedstd,ll_all_mean_base,ll_hard25_mean_base,ll_all_median_base,ll_hard25_median_base,delta_ll_all_mean,delta_ll_all_median,delta_ll_hard25_mean,delta_ll_hard25_median
5,normal,R0,0.2687926087523512,0.2693615891079595,0.00175401985542948,0.8800274175691449,0.8790195073781703,0.0057831280428737655,0.2687926087523512,0.8800274175691449,0.2693615891079595,0.8790195073781703,0.0,0.0,0.0,0.0
5,normal,R1,0.2525996158293017,0.25444620923093164,0.006018788224849813,0.7786043028112,0.7760513610284218,0.02439541574706383,0.2687926087523512,0.8800274175691449,0.2693615891079595,0.8790195073781703,-0.016192992923049543,-0.014915379877027846,-0.10142311475794497,-0.10296814634974849
5,normal,R2,0.25984572774233594,0.25899348821585233,0.0032376651755595186,0.8563359421845508,0.8562257991090333,0.016069057515369665,0.2687926087523512,0.8800274175691449,0.2693615891079595,0.8790195073781703,-0.008946881010015284,-0.010368100892107157,-0.02369147538459415,-0.02279370826913696
5,normal,R3,0.24463549751659758,0.2453698791650815,0.005024321047515384,0.7817516863067371,0.7690683047320614,0.02289815118540347,0.2687926087523512,0.8800274175691449,0.2693615891079595,0.8790195073781703,-0.024157111235753648,-0.023991709942877998,-0.09827573126240785,-0.1099512026461088
5,normal,R4,0.2466149947560758,0.24574825027608643,0.0055994760550759845,0.7691451074118488,0.781336503555722,0.022637074049537645,0.2687926087523512,0.8800274175691449,0.2693615891079595,0.8790195073781703,-0.022177613996275436,-0.023613338831873054,-0.1108823101572961,-0.09768300382244821
6,normal,R0,0.21590728875119275,0.21902773344642792,0.005769946505597164,0.7720116018808956,0.7817451929818079,0.025273110829557306,0.21590728875119275,0.7720116018808956,0.21902773344642792,0.7817451929818079,0.0,0.0,0.0,0.0
6,normal,R1,0.21895032760020677,0.2196752905812866,0.0024241858674629983,0.774148261082147,0.7743955589653269,0.005420950482634495,0.21590728875119275,0.7720116018808956,0.21902773344642792,0.7817451929818079,0.0030430388490140237,0.0006475571348586728,0.0021366592012513896,-0.0073496340164810325
6,normal,R2,0.21658501662100366,0.21555382700394113,0.0028742152180577497,0.7756282377507856,0.7716729252979191,0.008791264451970681,0.21590728875119275,0.7720116018808956,0.21902773344642792,0.7817451929818079,0.0006777278698109068,-0.003473906442486796,0.003616635869890028,-0.010072267683888803
6,normal,R3,0.21568971007193555,0.21561035934981188,0.0027755577598665504,0.7641300973924621,0.7615460697744757,0.005984041847240987,0.21590728875119275,0.7720116018808956,0.21902773344642792,0.7817451929818079,-0.0002175786792572021,-0.0034173740966160493,-0.0078815044884335,-0.020199123207332192
6,normal,R4,0.21362073967237932,0.21369402848232086,0.002271931687131738,0.7629268262775012,0.7577800533492514,0.011868614989513207,0.21590728875119275,0.7720116018808956,0.21902773344642792,0.7817451929818079,-0.002286549078813427,-0.005333704964107067,-0.00908477560339438,-0.02396513963255653
7,normal,R0,0.2693305037635192,0.2702228765869502,0.007654529183174348,0.8787983967714977,0.8812717528505722,0.04484388898428989,0.2693305037635192,0.8787983967714977,0.2702228765869502,0.8812717528505722,0.0,0.0,0.0,0.0
7,normal,R1,0.2627620641842833,0.26096581506399813,0.004914469361180359,0.8439277377610985,0.8424014763483382,0.028424027263111253,0.2693305037635192,0.8787983967714977,0.2702228765869502,0.8812717528505722,-0.0065684395792359185,-0.009257061522952081,-0.03487065901039921,-0.03887027650223407
7,normal,R2,0.2669958960096099,0.26753085513215136,0.0027123762669914704,0.8568540611009595,0.859179221254908,0.031127755648528828,0.2693305037635192,0.8787983967714977,0.2702228765869502,0.8812717528505722,-0.0023346077539093124,-0.002692021454798854,-0.021944335670538218,-0.022092531595664266
7,normal,R3,0.2566406072380686,0.2581194274991696,0.005481057281820224,0.8301730039466539,0.8316543407637976,0.032527511368746514,0.2693305037635192,0.8787983967714977,0.2702228765869502,0.8812717528505722,-0.012689896525450606,-0.012103449087780604,-0.048625392824843794,-0.049617412086774615
7,normal,R4,0.25855605507688606,0.2584168463289033,0.0017737844592834143,0.8315557723634989,0.8410357958903111,0.01671912550964397,0.2693305037635192,0.8787983967714977,0.2702228765869502,0.8812717528505722,-0.010774448686633131,-0.011806030258046885,-0.04724262440799887,-0.040235956960261166
8,normal,R0,0.23753972291357045,0.2386851860893977,0.006702184559802823,0.9194513700316976,0.9143088121850698,0.025666376818363056,0.23753972291357045,0.9194513700316976,0.2386851860893977,0.9143088121850698,0.0,0.0,0.0,0.0
8,normal,R1,0.20333123263007796,0.202004290209988,0.005091561233677008,0.7867985889121425,0.7802555836662937,0.021418720275375686,0.23753972291357045,0.9194513700316976,0.2386851860893977,0.9143088121850698,-0.03420849028349249,-0.0366808958794097,-0.13265278111955514,-0.1340532285187761
8,normal,R2,0.1912119125721846,0.1879471763360015,0.010081563303996831,0.7354622018305939,0.7235893203668234,0.042746450820118374,0.23753972291357045,0.9194513700316976,0.2386851860893977,0.9143088121850698,-0.04632781034138586,-0.05073800975339621,-0.18398916820110378,-0.19071949181824632
8,normal,R3,0.1839390711869783,0.1895528659194254,0.009345090383502981,0.7090702387219145,0.731461033780808,0.03868553900099858,0.23753972291357045,0.9194513700316976,0.2386851860893977,0.9143088121850698,-0.05360065172659215,-0.04913232016997229,-0.2103811313097831,-0.1828477784042618
8,normal,R4,0.17862338330080887,0.18403834536207703,0.014077641888500901,0.6815067641584707,0.7033523805586496,0.05268534017381112,0.23753972291357045,0.9194513700316976,0.2386851860893977,0.9143088121850698,-0.058916339612761576,-0.05464684072732068,-0.23794460587322697,-0.2109564316264202
9,shock,R0,0.3513524453042834,0.3556346968841709,0.010600508217269052,1.26463373632239,1.2814501024545784,0.04156916458282652,0.3513524453042834,1.26463373632239,0.3556346968841709,1.2814501024545784,0.0,0.0,0.0,0.0
9,shock,R1,0.3585276028709692,0.3582753127800733,0.009374394232115302,1.2918396869178992,1.2919086953126506,0.03521075593662042,0.3513524453042834,1.26463373632239,0.3556346968841709,1.2814501024545784,0.007175157566685797,0.0026406158959024206,0.02720595059550912,0.010458592858072269
9,shock,R2,0.3372704029600583,0.3360042057720748,0.004864845943012431,1.207127097416984,1.203232588384675,0.023105661245455454,0.3513524453042834,1.26463373632239,0.3556346968841709,1.2814501024545784,-0.01408204234422511,-0.019630491112096082,-0.05750663890540597,-0.0782175140699033
9,shock,R3,0.33500058463604826,0.3328651385342102,0.009217028766033152,1.203605345551269,1.1860764778837767,0.03964390179187789,0.3513524453042834,1.26463373632239,0.3556346968841709,1.2814501024545784,-0.01635186066823513,-0.022769558349960695,-0.0610283907711211,-0.09537362457080167
9,shock,R4,0.33575472632111264,0.3346849539105094,0.011031337025595613,1.2085802065111415,1.19888799084136,0.0420234342213337,0.3513524453042834,1.26463373632239,0.3556346968841709,1.2814501024545784,-0.01559771898317075,-0.020949742973661478,-0.05605352981124856,-0.08256211161321825
10,normal,R0,0.246048728879298,0.24613239439950638,0.0009786992544739367,0.9186718626472962,0.9216099606629986,0.009240759374381584,0.246048728879298,0.9186718626472962,0.24613239439950638,0.9216099606629986,0.0,0.0,0.0,0.0
10,normal,R1,0.2489096592910114,0.24834599324902373,0.003796106971572127,0.9248665470623983,0.9248024665819943,0.017466825415435965,0.246048728879298,0.9186718626472962,0.24613239439950638,0.9216099606629986,0.002860930411713397,0.0022135988495173564,0.006194684415102181,0.0031925059189956695
10,normal,R2,0.2502002386684727,0.2489522528031054,0.003357125694350802,0.9380700526510587,0.9291519322696551,0.017142594055752868,0.246048728879298,0.9186718626472962,0.24613239439950638,0.9216099606629986,0.0041515097891746955,0.0028198584035990237,0.019398190003762528,0.0075419716066564835
10,normal,R3,0.2510193350958019,0.2502940826711935,0.00306251252626734,0.9333759095350487,0.9260313460367459,0.014957721635796459,0.246048728879298,0.9186718626472962,0.24613239439950638,0.9216099606629986,0.004970606216503887,0.004161688271687142,0.014704046887752509,0.004421385373747255
10,normal,R4,0.2540481018974975,0.2552060848613456,0.0037495268751474072,0.9415898121998264,0.950043287975291,0.0249021167454916,0.246048728879298,0.9186718626472962,0.24613239439950638,0.9216099606629986,0.007999373018199502,0.009073690461839229,0.022917949552530237,0.028433327312292422
