purchased_litres,purchased_spend,attributed_litres,attributed_spend,leftover_litres,leftover_spend,prior_burned,burned_total,fold,station_code,arm
300.0,58910.0,250.0,48440.0,50.0,10470.0,25.0,275.0,10,261,oracle
300.0,61045.0,275.0,55297.5,25.0,5747.5,25.0,300.0,10,414,oracle
300.0,60770.0,275.0,55022.5,25.0,5747.5,25.0,300.0,10,429,oracle
300.0,62085.0,250.0,51445.0,50.0,10640.0,25.0,275.0,10,585,oracle
300.0,63795.0,275.0,58047.5,25.0,5747.5,25.0,300.0,10,18517,oracle
300.0,58380.0,250.0,48785.0,50.0,9595.0,0.0,250.0,11,261,oracle
300.0,60945.0,250.0,51950.0,50.0,8995.0,0.0,250.0,11,414,oracle
300.0,60195.0,250.0,50500.0,50.0,9695.0,0.0,250.0,11,429,oracle
300.0,61750.0,250.0,51305.0,50.0,10445.0,0.0,250.0,11,585,oracle
300.0,63420.0,250.0,53025.0,50.0,10395.0,0.0,250.0,11,18517,oracle
300.0,53580.0,275.0,49087.5,25.0,4492.5,0.0,275.0,12,261,oracle
325.0,59492.5,275.0,50497.5,50.0,8995.0,0.0,275.0,12,414,oracle
325.0,58862.5,275.0,49967.5,50.0,8895.0,0.0,275.0,12,429,oracle
300.0,54545.0,275.0,49997.5,25.0,4547.5,0.0,275.0,12,585,oracle
325.0,61542.5,275.0,52347.5,50.0,9195.0,0.0,275.0,12,18517,oracle
300.0,53355.0,275.0,48882.5,25.0,4472.5,25.0,300.0,13,261,oracle
325.0,62267.5,275.0,52872.5,50.0,9395.0,25.0,300.0,13,414,oracle
300.0,55075.0,275.0,50452.5,25.0,4622.5,0.0,275.0,13,429,oracle
325.0,60842.5,275.0,51597.5,50.0,9245.0,0.0,275.0,13,585,oracle
325.0,63442.5,275.0,53997.5,50.0,9445.0,25.0,300.0,13,18517,oracle
325.0,60552.5,275.0,51457.5,50.0,9095.0,25.0,300.0,14,261,oracle
325.0,59917.5,275.0,51422.5,50.0,8495.0,25.0,300.0,14,414,oracle
325.0,61037.5,275.0,52392.5,50.0,8645.0,25.0,300.0,14,429,oracle
325.0,62892.5,275.0,53797.5,50.0,9095.0,25.0,300.0,14,585,oracle
300.0,59070.0,250.0,49775.0,50.0,9295.0,25.0,275.0,14,18517,oracle
