station_code,name,address,suburb,postcode,brand,price,date
20241,EG Ampol Oran Park,"3 DUNK PL, ORAN PARK NSW 2570",ORAN PARK,2570,EG Ampol,181.9,2026-04-26
20242,METRO PETROLEUM (HABERFIELD),"163-165 PARRAMATTA RD, HABERFIELD NSW 2045",HABERFIELD,2045,Metro Fuel,176.7,2026-04-26
20244,Metro Londonderry,"486 LONDONDERRY RD, LONDONDERRY NSW 2753",LONDONDERRY,2753,Metro Fuel,180.5,2026-04-26
20245,BP Boorooma,"8 MESSENGER AV, BOOROOMA NSW 2650",BOOROOMA,2650,BP,187.9,2026-04-26
20246,Metro Bexley North,"307-309 BEXLEY RD, BEXLEY NORTH NSW 2207",BEXLEY NORTH,2207,Metro Fuel,177.9,2026-04-26
20249,OTR Strathfield,"9 ALBERT RD, STRATHFIELD NSW 2135",STRATHFIELD,2135,Shell,176.9,2026-04-26
20251,Mobil Yamba,"189 YAMBA RD, YAMBA NSW 2464",YAMBA,2464,Mobil,196.9,2026-04-26
20254,METRO PETROLEUM FYSHWICK,"MOBIL OUTLET 15 BARRIER ST, FYSHWICK ACT 2609",FYSHWICK,2609,Metro Fuel,168.9,2026-04-26
20256,"METRO PETROLEUM, NEWCASTLE WEST","113 PARRY ST, NEWCASTLE WEST NSW 2302",NEWCASTLE WEST,2302,Metro Fuel,187.5,2026-04-26
20257,"METRO PETROLEUM, HAMILTON SOUTH","67 STEWART AV, HAMILTON SOUTH NSW 2303",HAMILTON SOUTH,2303,Metro Fuel,187.5,2026-04-26
20258,OTR Greystanes,"661 MERRYLANDS RD, GREYSTANES NSW 2145",GREYSTANES,2145,Shell,176.9,2026-04-26
20259,OTR Kingsford,"48 GARDENERS RD, KINGSFORD NSW 2032",KINGSFORD,2032,Shell,181.9,2026-04-26
20260,The Rock Roadhouse,"652 GOOREENGI RD, NORTH ARM COVE NSW 2324",NORTH ARM COVE,2324,Independent,197.9,2026-04-26
20261,Metro Hurlstone Park,"13 CANTERBURY RD, CANTERBURY NSW 2193",CANTERBURY,2193,Metro Fuel,175.5,2026-04-26
20264,Metro Sunnyholt Road,"148 SUNNYHOLT RD, BLACKTOWN NSW 2148",BLACKTOWN,2148,Metro Fuel,176.7,2026-04-26
20265,7-Eleven Bonnyrigg Heights,"620-628 ELIZABETH DR, BONNYRIGG HEIGHTS NSW 2177",BONNYRIGG HEIGHTS,2177,7-Eleven,189.9,2026-04-26
20266,Enhance Lugarno,"1046 FOREST RD, LUGARNO NSW 2210",LUGARNO,2210,Enhance,181.7,2026-04-26
20268,GTORQUE PETROLEUM,"104 LINDESAY ST, CAMPBELLTOWN NSW 2560",CAMPBELLTOWN,2560,Independent,178.7,2026-04-26
20270,Metro Tahmoor,"SHOP 1 2790 REMEMBRANCE DVWY, TAHMOOR NSW 2573",TAHMOOR,2573,Metro Fuel,182.9,2026-04-26
20274,Mobil Tamworth West,"242-246 BRIDGE ST, WEST TAMWORTH NSW 2340",WEST TAMWORTH,2340,Mobil,181.5,2026-04-26
20514,Metro Bankstown,"108 CANTERBURY RD, BANKSTOWN NSW 2200",BANKSTOWN,2200,Metro Fuel,176.5,2026-04-26
20515,Mobil Coolac,"495 COOLAC RD, COOLAC NSW 2727",COOLAC,2727,Mobil,176.5,2026-04-26
20516,Caltex Hillvue,"464 GOONOO GOONOO RD, HILLVUE NSW 2340",HILLVUE,2340,Caltex,181.9,2026-04-26
20520,7-Eleven Leppington,"96 RICKARD RD, LEPPINGTON NSW 2179",LEPPINGTON,2179,7-Eleven,181.9,2026-04-26
20523,Shell Jindera,"99 URANA ST, JINDERA NSW 2642",JINDERA,2642,Shell,196.9,2026-04-26
20525,Shell Servo Gunnedah,"1 KAMILAROI HWY, GUNNEDAH NSW 2380",GUNNEDAH,2380,Shell,181.5,2026-04-26
20528,Speedway William Street,"2 BLAXCELL ST, GRANVILLE NSW 2142",GRANVILLE,2142,Speedway,176.5,2026-04-26
20529,Caltex Braidwood,"76 LASCELLES ST, BRAIDWOOD NSW 2622",BRAIDWOOD,2622,Caltex,191.9,2026-04-26
20531,METRO PETROLEUM LAMBTON,"111 GRIFFITHS RD, LAMBTON NSW 2299",LAMBTON,2299,Metro Fuel,174.5,2026-04-26
20535,PEARL ENERGY TARAGO,"2 BRAIDWOOD RD, TARAGO NSW 2580",TARAGO,2580,Pearl Energy,181.5,2026-04-26
20536,OTR Wetherill Park Horsley Drive,"1181 THE HORSLEY DRIVE, WETHERILL PARK NSW 2164",WETHERILL PARK,2164,Shell,176.9,2026-04-26
20538,OTR Jamisontown,Mulgoa Rd & Wolseley St Jamisontown NSW 2750,,2750,Shell,181.9,2026-04-26
20540,Ajm Smart Pty Ltd,"ROSES CAFE 664 SNOWY MOUNTAINS HWY, DAIRYMANS PLAINS NSW 2630",DAIRYMANS PLAINS,2630,Caltex,186.9,2026-04-26
20542,Medco Waratah,"36 LORNA ST, WARATAH NSW 2298",WARATAH,2298,Independent,174.5,2026-04-26
20543,PEARL ENERGY EAST MAITLAND,"39 MELBOURNE ST, EAST MAITLAND NSW 2323",EAST MAITLAND,2323,Pearl Energy,181.5,2026-04-26
20544,Enhance Bass Hill,"924 HUME HWY, BASS HILL NSW 2197",BASS HILL,2197,Enhance,174.9,2026-04-26
20546,OTR Baulkham Hills,"SHELL PETROL STATION 363 WINDSOR RD, BAULKHAM HILLS NSW 2153",BAULKHAM HILLS,2153,Shell,176.9,2026-04-26
20548,OTR Edmondson Park,"2126 Camden Valley Wy, Edmondson Park NSW 2174",Edmondson Park,2174,Shell,181.9,2026-04-26
20550,Costco Auburn (Members only),"COSTCO 17-21 PARRAMATTA RD, LIDCOMBE NSW 2141",LIDCOMBE,2141,Costco,172.7,2026-04-26
20551,OTR Marsden Park North,"920 RICHMOND RD, MARSDEN PARK NSW 2765",MARSDEN PARK,2765,Shell,176.9,2026-04-26
20553,OTR Padstow,"19 DAVIES RD, PADSTOW NSW 2211",PADSTOW,2211,Shell,176.9,2026-04-26
20557,OTR Rouse Hill,"43 PANMURE ST, ROUSE HILL NSW 2155",ROUSE HILL,2155,Shell,176.9,2026-04-26
20558,Budget Petrol,"365 LIVERPOOL RD, STRATHFIELD NSW 2135",STRATHFIELD,2135,Budget,181.7,2026-04-26
20559,OTR Pennant Hills East,"369 PENNANT HILLS RD, PENNANT HILLS NSW 2120",PENNANT HILLS,2120,Shell,176.9,2026-04-26
20560,OTR Bella Vista,24 NORWEST BVD BELLA VISTA NSW 2153,,2153,Shell,176.9,2026-04-26
20562,Metro Petroleum Jannali,"97-99 WATTLE RD, JANNALI NSW 2226",JANNALI,2226,Metro Fuel,179.9,2026-04-26
20563,Pearl Energy Tweed Heads,"61-65 WHARF ST, TWEED HEADS NSW 2485",TWEED HEADS,2485,Pearl Energy,175.5,2026-04-26
20565,Metro Liverpool,64 ORANGE GROVE RD LIVERPOOL NSW 2170,,2170,Metro Fuel,181.7,2026-04-26
20571,BP Charmhaven,"210 PACIFIC HWY, CHARMHAVEN NSW 2263",CHARMHAVEN,2263,BP,185.9,2026-04-26
20573,Caltex Wetherill Park,"449 VICTORIA ST, WETHERILL PARK NSW 2164",WETHERILL PARK,2164,Caltex,186.9,2026-04-26
20575,BP ROADHOUSE TEMORA,"193-197 VICTORIA ST, TEMORA NSW 2666",TEMORA,2666,BP,191.9,2026-04-26
20576,Mobil Murrurundi,"3-7 MAYNE ST, MURRURUNDI NSW 2338",MURRURUNDI,2338,Mobil,192.9,2026-04-26
20577,AUS Petroleum Harden,"96 ALBURY ST, HARDEN NSW 2587",HARDEN,2587,AUS Petroleum,177.9,2026-04-26
20578,Pearl Energy Edgeworth,"736 MAIN RD, EDGEWORTH NSW 2285",EDGEWORTH,2285,Pearl Energy,179.5,2026-04-26
20583,Metro West Cooma,"686 SNOWY MOUNTAINS HWY, DAIRYMANS PLAINS NSW 2630",DAIRYMANS PLAINS,2630,Metro Fuel,184.9,2026-04-26
20585,Metro Heatherbrae Pacific Hwy,"2179 PACIFIC HWY, HEATHERBRAE NSW 2324",HEATHERBRAE,2324,Metro Fuel,181.7,2026-04-26
20587,Metro Petroleum Singleton,"51-55 GEORGE ST, SINGLETON NSW 2330",SINGLETON,2330,Metro Fuel,181.5,2026-04-26
20589,Astron Glen Innes,"102 CHURCH ST, GLEN INNES NSW 2370",GLEN INNES,2370,ASTRON,205.3,2026-04-26
20591,OTR South Nowra,"198 PRINCES HWY, SOUTH NOWRA NSW 2541",SOUTH NOWRA,2541,Shell,176.9,2026-04-26
20592,OTR Doonside,"427 BUNGARRIBEE RD, DOONSIDE NSW 2767",DOONSIDE,2767,Shell,176.9,2026-04-26
20593,Speedway GroseVale,"SHOP 3 659 GROSE VALE RD, GROSE VALE NSW 2753",GROSE VALE,2753,Speedway,184.9,2026-04-26
20594,OTR Willoughby,"616-626 WILLOUGHBY RD, WILLOUGHBY NSW 2068",WILLOUGHBY,2068,Shell,176.9,2026-04-26
