fold,regime,val_start,val_end,val_rows,n_lated,run,n_features,seed,ll_all,ll_hard25,ll_hard10,ll_lated,fit_s
3,normal,2022-05-04,2022-08-01,53719,8321,RA_both,52,45,0.35275199538230523,1.164594629802403,1.759424510004786,0.9074744616155492,2.4918817080033477
3,normal,2022-05-04,2022-08-01,53719,8321,RA_both,52,46,0.3719174450901479,1.2996507536890358,2.0491567304025033,1.0931891501527569,2.4998080000077607
3,normal,2022-05-04,2022-08-01,53719,8321,RAC_full,54,42,0.30957301798940506,1.047319150515174,1.678005723314099,0.7543581572721114,2.65966354199918
3,normal,2022-05-04,2022-08-01,53719,8321,RAC_full,54,43,0.3449587920197395,1.2152519230291887,1.968322155670424,0.9888846680958531,2.612534832995152
3,normal,2022-05-04,2022-08-01,53719,8321,RAC_full,54,44,0.3578480487713518,1.1968923896394565,1.8940427686585763,0.9335823074032294,2.6040813750005327
3,normal,2022-05-04,2022-08-01,53719,8321,RAC_full,54,45,0.4873532877353477,1.2861579443810973,2.0719820338913006,1.017534466813976,2.5706415830063634
3,normal,2022-05-04,2022-08-01,53719,8321,RAC_full,54,46,0.3338317846404419,1.1499297085328644,1.840589941224657,0.8777638583227797,2.6141605000011623
4,shock,2022-08-02,2022-10-30,58317,6428,R0,50,42,0.420524291795595,1.2673947506696077,1.957767065860221,0.5607262257516246,2.639707125010318
4,shock,2022-08-02,2022-10-30,58317,6428,R0,50,43,0.4002071771843062,1.1794740422699608,1.8027317146973596,0.5641239618428096,2.545358542003669
4,shock,2022-08-02,2022-10-30,58317,6428,R0,50,44,0.44222927495852365,1.305715694145356,2.0813990689290627,0.5581063111865622,2.5475121250055963
4,shock,2022-08-02,2022-10-30,58317,6428,R0,50,45,0.4109403506153726,1.2048379147995767,1.8554613421775028,0.5816922086818141,2.5708112079882994
4,shock,2022-08-02,2022-10-30,58317,6428,R0,50,46,0.41704622001300534,1.1876957592312467,1.8235201808536008,0.5634905473070987,2.539594208006747
4,shock,2022-08-02,2022-10-30,58317,6428,RA_level,51,42,0.4050746941932779,1.1356707685998644,1.6509844824406226,0.5831181716647824,2.6161185829987517
4,shock,2022-08-02,2022-10-30,58317,6428,RA_level,51,43,0.40575486031916713,1.117500744251344,1.6075506193933398,0.5936742978572322,2.618845249991864
