cadence_days,tau,always_cpl,model_cpl,oracle_cpl,captured_cpl,headroom_cpl,captured_pct,model_fills,model_emergency_pct,model_litres,dry_events,worst_dry_litres,cell_valid,wall_s
2,0.8,192.9544060150376,193.49428571428575,185.16320703727334,-0.5398796992481607,8.331078677012414,-6.929353245745028,980,100.0,20999.999999999996,0,0.0,True,2.090442707994953
1,0.05,192.9936458333339,188.7699649336791,184.85177122142767,4.223680899654795,3.9181937122514228,51.87602488348718,3197,10.69752893337504,23424.999999999975,0,0.0,True,4.194281083997339
1,0.1,192.9936458333339,188.3755739210286,184.85177122142767,4.6180719123052825,3.5238026996009353,56.72000776764696,2938,13.206262763784887,23335.71428571426,0,0.0,True,4.228857749985764
1,0.15,192.9936458333339,188.07766840972022,184.85177122142767,4.915977423613668,3.2258971882925493,60.37893799573897,2703,15.908250092489826,23221.42857142855,0,0.0,True,4.182671125017805
1,0.2,192.9936458333339,187.81943413729138,184.85177122142767,5.174211696042505,2.9676629158637127,63.55061877857994,2441,19.33633756657108,23099.999999999985,0,0.0,True,4.2248214579885826
1,0.25,192.9936458333339,187.8211302592766,184.85177122142767,5.172515574057286,2.969359037848932,63.529786696706076,2332,21.440823327615778,23003.571428571417,0,0.0,True,4.200734042009572
1,0.3,192.9936458333339,187.7972658070531,184.85177122142767,5.196380026280792,2.9454945856254255,63.822894283853245,2221,23.728050427735255,22989.2857142857,0,0.0,True,4.191532166994875
1,0.35,192.9936458333339,187.75942028985517,184.85177122142767,5.234225543478715,2.907649068427503,64.28771987994607,2090,26.411483253588518,22917.857142857134,0,0.0,True,4.172286916989833
1,0.4,192.9936458333339,187.87705484834203,184.85177122142767,5.116590984991859,3.0252836269143586,62.84291061802457,1966,29.65412004069176,22724.999999999993,0,0.0,True,4.184342167020077
1,0.5,192.9936458333339,187.97005846105233,184.85177122142767,5.023587372281554,3.1182872396246637,61.700623157906946,1639,41.1836485661989,22603.571428571424,0,0.0,True,4.196573082997929
1,0.6,192.9936458333339,188.83741822243493,184.85177122142767,4.156227610898952,3.9856470010072655,51.04755119688431,1378,55.587808417997095,22382.14285714286,0,0.0,True,4.186623290996067
1,0.7,192.9936458333339,190.5164873365337,184.85177122142767,2.4771584968002003,5.6647161151060175,30.42491581948147,1160,74.39655172413792,21575.0,0,0.0,True,4.185781665990362
1,0.8,192.9936458333339,193.49428571428578,184.85177122142767,-0.5006398809518942,8.642514492858112,-6.148951007176979,980,100.0,21000.000000000004,0,0.0,True,4.1884745840216056
