cadence,tau,fold,val_start,val_end,model_cpl,n_fills
7,0.8,4,2022-08-02,2022-10-30,178.79833333333335,60
7,0.8,5,2022-10-31,2023-01-28,189.99666666666667,60
7,0.8,6,2023-01-29,2023-04-28,194.93666666666667,60
7,0.8,7,2023-04-29,2023-07-27,183.56666666666666,60
7,0.8,8,2023-07-28,2023-10-25,205.93,60
7,0.8,9,2023-10-26,2024-01-23,204.11,60
7,0.8,10,2024-01-24,2024-04-22,213.13,60
7,0.8,11,2024-04-23,2024-07-21,208.80666666666667,60
7,0.8,12,2024-07-22,2024-10-19,189.41,60
7,0.8,13,2024-10-20,2025-01-17,193.42,60
7,0.8,14,2025-01-18,2025-04-17,195.91,60
2,0.05,1,2021-11-05,2022-02-02,167.8672853828307,121
2,0.05,2,2022-02-03,2022-05-03,177.8664543524415,153
2,0.05,3,2022-05-04,2022-08-01,195.11305263157885,140
2,0.05,4,2022-08-02,2022-10-30,175.11645021645018,161
2,0.05,5,2022-10-31,2023-01-28,188.23452631578948,150
2,0.05,6,2023-01-29,2023-04-28,189.39747368421055,118
2,0.05,7,2023-04-29,2023-07-27,179.945,155
2,0.05,8,2023-07-28,2023-10-25,199.1808421052631,104
2,0.05,9,2023-10-26,2024-01-23,197.8818947368421,99
2,0.05,10,2024-01-24,2024-04-22,203.78251748251745,101
2,0.05,11,2024-04-23,2024-07-21,205.22904761904763,120
2,0.05,12,2024-07-22,2024-10-19,186.02505263157894,135
2,0.05,13,2024-10-20,2025-01-17,186.75557894736835,118
2,0.05,14,2025-01-18,2025-04-17,189.75586353944558,121
2,0.1,1,2021-11-05,2022-02-02,167.65800464037127,118
2,0.1,2,2022-02-03,2022-05-03,177.49617834394894,141
2,0.1,3,2022-05-04,2022-08-01,194.932842105263,134
2,0.1,4,2022-08-02,2022-10-30,174.66637554585145,153
2,0.1,5,2022-10-31,2023-01-28,187.93873684210524,142
2,0.1,6,2023-01-29,2023-04-28,189.1770386266095,110
2,0.1,7,2023-04-29,2023-07-27,179.38149882903986,149
2,0.1,8,2023-07-28,2023-10-25,200.558747300216,89
2,0.1,9,2023-10-26,2024-01-23,196.77831578947368,91
2,0.1,10,2024-01-24,2024-04-22,203.51585081585077,94
2,0.1,11,2024-04-23,2024-07-21,204.22190476190477,112
2,0.1,12,2024-07-22,2024-10-19,185.4077894736842,127
2,0.1,13,2024-10-20,2025-01-17,187.6082105263157,112
2,0.1,14,2025-01-18,2025-04-17,188.99381663113002,115
2,0.15,1,2021-11-05,2022-02-02,167.63104265402848,116
2,0.15,2,2022-02-03,2022-05-03,177.3836518046708,130
2,0.15,3,2022-05-04,2022-08-01,195.56442105263147,126
2,0.15,4,2022-08-02,2022-10-30,174.29432314410477,143
2,0.15,5,2022-10-31,2023-01-28,187.41932059447987,132
2,0.15,6,2023-01-29,2023-04-28,189.15107758620692,102
2,0.15,7,2023-04-29,2023-07-27,179.1740046838408,143
2,0.15,8,2023-07-28,2023-10-25,201.40782608695653,77
2,0.15,9,2023-10-26,2024-01-23,196.46926315789472,86
2,0.15,10,2024-01-24,2024-04-22,203.6463869463869,88
2,0.15,11,2024-04-23,2024-07-21,203.76,106
2,0.15,12,2024-07-22,2024-10-19,184.8890590809628,117
2,0.15,13,2024-10-20,2025-01-17,187.54084210526312,109
2,0.15,14,2025-01-18,2025-04-17,188.65138592750532,112
2,0.2,1,2021-11-05,2022-02-02,167.59786729857825,112
2,0.2,2,2022-02-03,2022-05-03,176.88258064516114,122
2,0.2,3,2022-05-04,2022-08-01,195.1362105263157,118
2,0.2,4,2022-08-02,2022-10-30,173.84199134199127,134
2,0.2,5,2022-10-31,2023-01-28,187.0430997876858,117
2,0.2,6,2023-01-29,2023-04-28,188.93638344226582,95
2,0.2,7,2023-04-29,2023-07-27,178.7932084309134,131
2,0.2,8,2023-07-28,2023-10-25,201.37177242888404,75
2,0.2,9,2023-10-26,2024-01-23,196.38505263157893,84
2,0.2,10,2024-01-24,2024-04-22,203.1918414918415,78
2,0.2,11,2024-04-23,2024-07-21,203.0247619047619,99
2,0.2,12,2024-07-22,2024-10-19,184.08512035010943,109
2,0.2,13,2024-10-20,2025-01-17,187.37621052631576,102
2,0.2,14,2025-01-18,2025-04-17,187.94136460554373,104
2,0.25,1,2021-11-05,2022-02-02,167.4651658767773,112
2,0.25,2,2022-02-03,2022-05-03,176.54030501089312,112
2,0.25,3,2022-05-04,2022-08-01,195.3025263157894,113
2,0.25,4,2022-08-02,2022-10-30,173.52683982683973,131
2,0.25,5,2022-10-31,2023-01-28,186.49957264957263,108
2,0.25,6,2023-01-29,2023-04-28,189.09441964285716,93
2,0.25,7,2023-04-29,2023-07-27,178.7932084309134,130
2,0.25,8,2023-07-28,2023-10-25,201.2929978118162,73
2,0.25,9,2023-10-26,2024-01-23,196.31052631578945,84
2,0.25,10,2024-01-24,2024-04-22,203.73449883449885,76
2,0.25,11,2024-04-23,2024-07-21,203.56919431279624,99
2,0.25,12,2024-07-22,2024-10-19,184.13228699551573,106
2,0.25,13,2024-10-20,2025-01-17,187.5298947368421,98
2,0.25,14,2025-01-18,2025-04-17,187.78997867803838,99
2,0.3,1,2021-11-05,2022-02-02,167.4651658767773,111
2,0.3,2,2022-02-03,2022-05-03,176.36980306345723,106
2,0.3,3,2022-05-04,2022-08-01,195.75094736842098,108
2,0.3,4,2022-08-02,2022-10-30,172.54043478260863,123
2,0.3,5,2022-10-31,2023-01-28,186.40652173913043,97
2,0.3,6,2023-01-29,2023-04-28,189.05743243243245,89
2,0.3,7,2023-04-29,2023-07-27,178.4358313817331,126
2,0.3,8,2023-07-28,2023-10-25,201.6416091954023,70
2,0.3,9,2023-10-26,2024-01-23,196.46421052631578,82
2,0.3,10,2024-01-24,2024-04-22,204.36573426573426,77
2,0.3,11,2024-04-23,2024-07-21,203.19715639810428,97
2,0.3,12,2024-07-22,2024-10-19,183.96188340807177,104
2,0.3,13,2024-10-20,2025-01-17,187.49621052631576,96
2,0.3,14,2025-01-18,2025-04-17,187.7396588486141,96
2,0.35,1,2021-11-05,2022-02-02,167.4668246445498,109
2,0.35,2,2022-02-03,2022-05-03,176.3191208791208,100
2,0.35,3,2022-05-04,2022-08-01,195.77663157894727,101
2,0.35,4,2022-08-02,2022-10-30,172.43624454148463,120
2,0.35,5,2022-10-31,2023-01-28,186.0238512035011,95
2,0.35,6,2023-01-29,2023-04-28,188.8687927107062,85
2,0.35,7,2023-04-29,2023-07-27,178.1730679156909,117
2,0.35,8,2023-07-28,2023-10-25,202.41402298850576,71
2,0.35,9,2023-10-26,2024-01-23,196.51052631578946,80
2,0.35,10,2024-01-24,2024-04-22,205.19370629370633,77
2,0.35,11,2024-04-23,2024-07-21,203.06682464454977,96
2,0.35,12,2024-07-22,2024-10-19,184.2877358490566,97
2,0.35,13,2024-10-20,2025-01-17,187.3294736842105,90
2,0.35,14,2025-01-18,2025-04-17,187.58742004264397,93
2,0.4,1,2021-11-05,2022-02-02,167.422037914692,107
2,0.4,2,2022-02-03,2022-05-03,176.03164835164827,97
2,0.4,3,2022-05-04,2022-08-01,195.78589473684198,97
2,0.4,4,2022-08-02,2022-10-30,172.32358078602616,112
2,0.4,5,2022-10-31,2023-01-28,185.96862745098042,93
2,0.4,6,2023-01-29,2023-04-28,189.1492990654206,81
2,0.4,7,2023-04-29,2023-07-27,177.9632318501171,112
2,0.4,8,2023-07-28,2023-10-25,205.1358490566038,71
2,0.4,9,2023-10-26,2024-01-23,198.22671081677706,78
2,0.4,10,2024-01-24,2024-04-22,205.83706293706297,76
2,0.4,11,2024-04-23,2024-07-21,202.84786729857822,93
2,0.4,12,2024-07-22,2024-10-19,183.7570754716981,94
2,0.4,13,2024-10-20,2025-01-17,187.26000000000002,89
2,0.4,14,2025-01-18,2025-04-17,187.5575692963753,92
2,0.5,1,2021-11-05,2022-02-02,166.97274881516594,94
2,0.5,2,2022-02-03,2022-05-03,176.51296703296694,86
2,0.5,3,2022-05-04,2022-08-01,197.2987368421052,92
2,0.5,4,2022-08-02,2022-10-30,171.69890350877193,90
2,0.5,5,2022-10-31,2023-01-28,185.65560439560437,80
2,0.5,6,2023-01-29,2023-04-28,190.35919811320753,73
2,0.5,7,2023-04-29,2023-07-27,177.13247058823535,102
2,0.5,8,2023-07-28,2023-10-25,205.05497630331757,70
2,0.5,9,2023-10-26,2024-01-23,199.67466063348417,75
2,0.5,10,2024-01-24,2024-04-22,205.818414918415,72
2,0.5,11,2024-04-23,2024-07-21,202.442654028436,84
2,0.5,12,2024-07-22,2024-10-19,183.0504716981132,89
2,0.5,13,2024-10-20,2025-01-17,187.01494736842108,83
2,0.5,14,2025-01-18,2025-04-17,187.68848614072496,87
2,0.6,1,2021-11-05,2022-02-02,170.57298578199055,69
2,0.6,2,2022-02-03,2022-05-03,177.6720879120879,85
2,0.6,3,2022-05-04,2022-08-01,198.53368421052636,82
2,0.6,4,2022-08-02,2022-10-30,173.15022727272728,71
2,0.6,5,2022-10-31,2023-01-28,185.48307692307696,76
2,0.6,6,2023-01-29,2023-04-28,191.21418604651166,72
2,0.6,7,2023-04-29,2023-07-27,177.07652582159628,94
2,0.6,8,2023-07-28,2023-10-25,206.18285714285716,70
2,0.6,9,2023-10-26,2024-01-23,200.80116009280744,74
2,0.6,10,2024-01-24,2024-04-22,206.7028235294118,71
2,0.6,11,2024-04-23,2024-07-21,202.78274231678492,79
2,0.6,12,2024-07-22,2024-10-19,182.44150943396227,83
2,0.6,13,2024-10-20,2025-01-17,187.82068965517246,78
2,0.6,14,2025-01-18,2025-04-17,188.38716814159295,80
2,0.7,1,2021-11-05,2022-02-02,172.3185714285715,70
2,0.7,2,2022-02-03,2022-05-03,179.9242857142857,70
2,0.7,3,2022-05-04,2022-08-01,200.82000000000002,70
2,0.7,4,2022-08-02,2022-10-30,177.1185714285714,70
2,0.7,5,2022-10-31,2023-01-28,189.04142857142858,70
2,0.7,6,2023-01-29,2023-04-28,195.4571428571429,70
2,0.7,7,2023-04-29,2023-07-27,177.41168224299068,84
2,0.7,8,2023-07-28,2023-10-25,206.18285714285716,70
2,0.7,9,2023-10-26,2024-01-23,202.05477855477858,74
2,0.7,10,2024-01-24,2024-04-22,207.05233644859814,71
2,0.7,11,2024-04-23,2024-07-21,203.34496487119438,73
2,0.7,12,2024-07-22,2024-10-19,181.75849056603772,76
2,0.7,13,2024-10-20,2025-01-17,188.4080459770115,74
2,0.7,14,2025-01-18,2025-04-17,190.0137168141593,76
2,0.8,1,2021-11-05,2022-02-02,172.3185714285715,70
2,0.8,2,2022-02-03,2022-05-03,179.9242857142857,70
2,0.8,3,2022-05-04,2022-08-01,200.82000000000002,70
2,0.8,4,2022-08-02,2022-10-30,177.1185714285714,70
2,0.8,5,2022-10-31,2023-01-28,189.04142857142858,70
2,0.8,6,2023-01-29,2023-04-28,195.4571428571429,70
2,0.8,7,2023-04-29,2023-07-27,183.10000000000002,70
2,0.8,8,2023-07-28,2023-10-25,206.18285714285716,70
2,0.8,9,2023-10-26,2024-01-23,205.08857142857144,70
2,0.8,10,2024-01-24,2024-04-22,213.09428571428572,70
2,0.8,11,2024-04-23,2024-07-21,208.56285714285715,70
2,0.8,12,2024-07-22,2024-10-19,189.55714285714288,70
2,0.8,13,2024-10-20,2025-01-17,192.67714285714288,70
2,0.8,14,2025-01-18,2025-04-17,195.97714285714292,70
1,0.05,1,2021-11-05,2022-02-02,168.12870159453314,217
1,0.05,2,2022-02-03,2022-05-03,177.93699788583544,288
1,0.05,3,2022-05-04,2022-08-01,195.05625000000026,254
1,0.05,4,2022-08-02,2022-10-30,175.22948717948745,309
1,0.05,5,2022-10-31,2023-01-28,188.47020833333372,278
1,0.05,6,2023-01-29,2023-04-28,189.31062500000027,202
1,0.05,7,2023-04-29,2023-07-27,179.71494505494528,290
1,0.05,8,2023-07-28,2023-10-25,198.76108786610888,166
1,0.05,9,2023-10-26,2024-01-23,197.86409185803774,155
1,0.05,10,2024-01-24,2024-04-22,203.5827272727274,161
1,0.05,11,2024-04-23,2024-07-21,206.07511111111126,216
1,0.05,12,2024-07-22,2024-10-19,186.30083333333357,252
1,0.05,13,2024-10-20,2025-01-17,186.3162500000002,200
1,0.05,14,2025-01-18,2025-04-17,189.68322851153064,209
1,0.1,1,2021-11-05,2022-02-02,167.95102505694774,209
1,0.1,2,2022-02-03,2022-05-03,177.38604651162822,259
1,0.1,3,2022-05-04,2022-08-01,194.80333333333363,235
1,0.1,4,2022-08-02,2022-10-30,174.82301075268845,293
1,0.1,5,2022-10-31,2023-01-28,188.07995824634693,260
1,0.1,6,2023-01-29,2023-04-28,188.81520833333354,180
1,0.1,7,2023-04-29,2023-07-27,179.52907488986799,280
1,0.1,8,2023-07-28,2023-10-25,199.99246861924686,135
1,0.1,9,2023-10-26,2024-01-23,196.924217118998,137
